AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,0,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Focused Value,F00000Q3ZF,Model-Delivered,Mid-Cap Value,N/A,Focused Value,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.19,0.184,0,0.184,,0.193,--,--,--,--,0.197,0,0,0,,0.195,0,0,0,--,193.67,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,All Cap,F00000JVJ0,Model-Delivered,Large Value,N/A,All Cap,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Small Cap,F00000JVRH,Model-Delivered,Small Blend,N/A,Small Cap,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,REIT,F00000XX8J,Model-Delivered,Real Estate,N/A,REIT,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.008,--,--,--,--,0.00097,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,SMID,F00000ML4H,Model-Delivered,Small Blend,N/A,SMID,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,Adhesion ,Adhesion ,N/A,Adhesion UMA Program,Select Dividend,F00000XS3J,Model-Delivered,Large Value,N/A,Select Dividend,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,,0,0,0,0,--,0,0,0,,--,
Anchor Capital Advisors LLC,,Ameriprise ,N/A,Premier Portfolio Services,Balanced,F00000J8TH,Model-Delivered,Allocation,N/A,Balanced,1315,233.55,5.89,14.67,,--,235.61,7.16,13.04,-5.88,--,258.07,23.36,9.25,14.11,--,275.77,23.23,7.77,15.46,--,294.19,17.92,6.5,11.42,--,300.18,9.72,8.77,0.95,--,300.82,5.11,10.94,-5.83,,293.52,7.009,47.67,-40.661,--,270.75,6.58,12.86,-6.28,--,
Anchor Capital Advisors LLC,,Ameriprise ,N/A,Premier Portfolio Services,Mid Cap,F00000JVJ1,Model-Delivered,Mid-Cap Value,N/A,Mid Cap,196,49.56,8.47,0.98,,--,49.31,1.7,2.93,-1.23,--,50.5,2.2,0.952,1.248,--,51.32,1.42,2.61,-1.19,--,53.08,1.34,2.65,-1.31,--,52.41,0.868,1.66,-0.792,--,51.28,0.404,1.4,-0.996,,50.64,0.303,8.22,-7.917,--,46.79,0.594,3.16,-2.566,--,
