AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Legg Mason,-,Morgan Stanley Wealth Management,,Select UMA,BWGLOBAL Small Cap Value SMA,-,Model Delivery,-,,Small Value ,0,44.27311804,0.99287222,-6.53342499,-5.54055277,0,40.16744923,2.90207395,-6.26595431,-3.36388036,0,42.6316685,0.43003844,-0.80922046,-0.37918202,0,44.5532699,0.90789685,-5.12249997,-4.21460312,0,43.336476,0.10153637,-0.41952535,-0.31798898,0,17.737724,0.03785825,-25.80678613,-25.76892788,0,0,0,-17.737724,-17.737724,0,0,0,0,0,0,0,0,0,0,0
Legg Mason,-,Merrill Lynch,,Managed Account Services (MAS),CBI All Cap Growth ESG SMA,-,Dual Contract,-,,Large Growth ,0.001,0.33620179,0.0065,-0.00103975,0.00546025,0,0.33813606,0,-0.00105534,-0.00105534,0,0.36339784,0,-0.0010751,-0.0010751,0,0.05696383,0,-0.31151468,-0.31151468,0,0.06093268,0,0,0,0,0.06242784,0,0,0,0,0.06485634,0,0,0,0,0.06901591,0,0,0,0,0.0698323,0,0,0,0
Legg Mason,-,UBS Financial,,Institutional Consulting Program (Eligible),CBI All Cap Growth ESG SMA,-,Dual Contract,-,,Large Growth ,0.001,1.85686566,0.11144325,-0.15436689,-0.04292364,0,1.8551742,0.3399393,-0.33721345,0.00272585,0,2.13843717,0.03280911,-0.00423817,0.02857094,0,2.04774078,0,-0.1121549,-0.1121549,0,1.97408949,0,-0.23732365,-0.23732365,0,2.03741057,0,-0.00406265,-0.00406265,0,2.05201082,0,-0.06767647,-0.06767647,0,2.13064212,0,-0.06529148,-0.06529148,0,2.07315682,0,-0.08954913,-0.08954913,0
Legg Mason,-,Wells Fargo Advisors,,Private Advisor Network,CBI All Cap Growth ESG SMA,-,Dual Contract,-,,Large Growth ,0.003,0,0,0,0,0,0,0,0,0,0,1.09686,1.128118,0,1.128118,0,1.105817,0,0,0,0,2.209589,1.076992,0,1.076992,0,2.255396,0,0,0,0,2.789704,0,0,0,0,1.415894,0,-1.55255567,-1.55255567,0,2.935791,1.567067,0,1.567067,0
Legg Mason,-,Merrill Lynch,,Managed Account Services (MAS),CBI All Cap Value ESG Catholic SMA,-,Dual Contract,-,,Large Value ,0.003,0.81356758,0,-0.00110051,-0.00110051,0,0.83466758,0,-0.00169546,-0.00169546,0,0.89242197,0,-0.00175911,-0.00175911,0,0.94171181,0,-0.01688002,-0.01688002,0,0.98648077,0.0025,-0.00197738,0.00052262,0,0.99392854,0,-0.00209473,-0.00209473,0,1.03485335,0,-0.00213331,-0.00213331,0,1.07881471,0,-0.00273645,-0.00273645,0,0.95222473,0,-0.07760308,-0.07760308,0
Legg Mason,-,Morgan Stanley Wealth Management,,Consulting & Evaluation Services (CES),CBI All Cap Value ESG Catholic SMA,-,Dual Contract,-,,Large Value ,0.001,0,0,0,0,0,0,0,0,0,0,0.13195705,0.13212402,0,0.13212402,0,0.14114902,0,0,0,0,0.14700436,0.81264145,-0.00313684,0.80950461,0,0.14876628,0,0,0,0,0.14511734,0,-0.01034917,-0.01034917,0,0.15036141,0,0,0,0,0.14353057,0,0,0,0
Legg Mason,-,Morgan Stanley Wealth Management,,Investment Management Services (IMS),CBI All Cap Value ESG Catholic SMA,-,Dual Contract,-,,Large Value ,0,0.21460961,0,-0.00064629,-0.00064629,0,0.16466691,0,-0.05463939,-0.05463939,0,0.17548016,0,0,0,0,0.18743882,0,-0.00052869,-0.00052869,0,0,0,-0.18824586,-0.18824586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legg Mason,-,Morgan Stanley Wealth Management,,Select UMA,CBI All Cap Value ESG Catholic SMA,-,Model Delivery,-,,Large Value ,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384255,1.336137,0,1.336137,0,1.889234,0.48841498,-0.00797691,0.48043807,0,3.046699,1.19380218,-0.14434224,1.04945994,0,3.404035,0.24718992,-0.01113317,0.23605675,0,4.11615,1.17114658,-0.25543021,0.91571637,0
Legg Mason,-,Morgan Stanley Wealth Management,,Investment Management Services (IMS),CBI Capital SMA,-,Dual Contract,-,,Custom Equity,0,0.92420564,0,0,0,0,0,0,0,0,0,0.95334886,0.47466513,-0.00066681,0.47399832,0,0,0.48084179,-0.01901498,0.46182681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legg Mason,-,Morgan Stanley Wealth Management,,Investment Management Services (IMS),CBI Custom ESG SMA,CBICUST,Dual Contract,-,,Custom Equity,0.01,5.38914305,0.01549807,-0.05639315,-0.04089508,0,4.8129012,0,-1.03250454,-1.03250454,0,5.041445,0,-0.00885297,-0.00885297,0,5.11685074,0.028,-0.11217296,-0.08417296,0,5.40291631,0.02004312,-0.04660066,-0.02655754,0,5.4738955,0,-0.04689517,-0.04689517,0,5.54790865,0,-0.07340566,-0.07340566,0,5.83271526,0.014,-0.03061881,-0.01661881,0,5.77214813,0.015,-0.06941368,-0.05441368,0
