AssetManager,SponsorFirm,,MorningstarStrategyId,MorningstarClass,,,SmaStrategy,SmaProductType,ManagerClass,,TotalAccounts,Smry Trns Typ Txt,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018
Principal,"1st Global, Inc.",,F00000Y4DW,US SA Small Blend,,,SMA Small-Cap Core Equity,SMA Model-Only Contract,Asset Management Program,,,Gross Flows,0,0,32601645.79,172758.75,2084997.32,501740.44,0,0,0
,,,,,,,,,,,,Redemptions,0,0,-364494,-931656.59,-752358.01,-924932.1,0,0,0
,,,,,,,,,Asset Management Program Total,,-,Net Cash Flows,0,0,32237151.79,-758897.84,1332639.31,-423191.66,0,0,0
,,,,,,,,,,,,Assets,,,33267131.83,34867310.06,36499034.32,35542082.77,,,
,,,,,,,,,,,,,,,,,,,,,
,,,F00000MP0V,US SA Real Estate,,,SMA U.S. Real Estate Equity Securities,SMA Model-Only Contract,Asset Management Program,,,Gross Flows,1238766.96,464970.53,856981.81,213449.07,1396319.24,0,0,0,0
,,,,,,,,,,,,Redemptions,0,-114680.58,-188116.7,-512486.29,-592519.52,-182360.85,0,0,0
,,,,,,,,,Asset Management Program Total,,-,Net Cash Flows,1238766.96,350289.95,668865.11,-299037.22,803799.72,-182360.85,0,0,0
,,,,,,,,,,,,Assets,23367618.36,24828060.72,24324050.21,23712821.14,23402216.8,23733053.01,,,
,,,,,,,,,,,,,,,,,,,,,
,"1st Global, Inc. Total",,,,,,,,,,,Overall Net Cash Flows,1238766.96,350289.95,32906016.9,-1057935.06,2136439.03,-605552.51,0,0,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Adhesion Wealth Advisor Solutions, Inc and Atria Investments, LLC",,F00000WKR5,US SA Preferred Stock,,,SMA Spectrum Preferred Capital Securities,SMA Model-Only Contract,Model Program,,,Gross Flows,0,0,0,0,0,0,33507.55,62460.44,154212.37
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-1127.28,-1289.69,-1088.06
,,,,,,,,,Model Program Total,,3,Net Cash Flows,0,0,0,0,0,0,32380.27,61170.75,153124.31
,,,,,,,,,,,,Assets,,,,,,,219415.35,256414.7,395177
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4Q,US SA Preferred Stock,,,SMA Spectrum Preferred Securities,SMA Model-Only Contract,Model Program,,,Gross Flows,0,0,2153851.1,0,24125.99,2061929.31,378582.91,2254085.45,504024.68
,,,,,,,,,,,,Redemptions,0,0,0,0,0,0,-44000.65,-78742.06,-220592.05
,,,,,,,,,Model Program Total,,184,Net Cash Flows,0,0,2153851.1,0,24125.99,2061929.31,334582.26,2175343.39,283432.63
,,,,,,,,,,,,Assets,,,2153851.1,2326149,2404484.89,4809352.77,5105518.05,7144704.06,7183000.57
,,,,,,,,,,,,,,,,,,,,,
,,,F00000JQ4R,US SA Preferred Stock,,,SMA Spectrum Tax Advantaged Preferred Securities,SMA Model-Only Contract,Model Program,,,Gross Flows,0,0,1242730.38,0,0,0,97.86,7999.46,117172
,,,,,,,,,,,,Redemptions,0,0,0,0,-949.88,-2418.29,-10142.29,-9685.08,-19318.47
,,,,,,,,,Model Program Total,,7,Net Cash Flows,0,0,1242730.38,0,-949.88,-2418.29,-10044.43,-1685.62,97853.53
,,,,,,,,,,,,Assets,,1242730.38,1336075.75,1415359.08,1646694.15,1463425.04,1463678,1544609,
,,,,,,,,,,,,,,,,,,,,,
,"Adhesion Wealth Advisor Solutions, Inc and Atria Investments, LLC Total",,,,,,,,,,,Overall Net Cash Flows,0,0,3396581.48,0,23176.11,2059511.02,356918.1,2234828.52,534410.47
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Ameriprise Financial Services, Inc",,,,,,SMA CCI Large Cap Growth Equity,SMA Model-Only Contract,Select Separate Account Program,,,Gross Flows,2013720,2477510,1420991,632038,146710,1113745,401448,1406364,333927
,,,,,,,,,,,,Redemptions,-2856446,-4356529,-3833451,-3838674,-3809500,-4187287,-3107662,-2641287,-865372
