AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Allianz Global Investors,NFJ/Pimco Balanced,F00000ISAI,US SA Allocation--50% to 70% Equity,MA,,12/01/89,2.39,2.08,1.75,2.92,2.29,1.98,3.07,3.56,-1.15,7.6,5.19
,NFJ All Cap Value,F00000N9JU,US SA Large Value,LV,,07/01/03,-1.97,3.32,2.75,9.65,3.49,1.51,3.81,7.17,-1.93,10.76,7.58
,NFJ Dividend Value,SAUSA000OD,US SA Large Value,LV,,02/01/89,2.47,1.66,2.38,8.43,2.71,1.91,4.5,6.69,-1.26,12.2,7.8
,NFJ Large Cap Value,F00000GWWW,US SA Large Value,LV,,12/01/03,-0.69,2.65,2.68,9.37,3.39,2.32,4.09,7.14,-1.56,12.33,8.54
,NFJ Mid Cap Value,FOUSA05ZCT,US SA Mid-Cap Value,MV,,12/01/02,2.54,3.98,2.61,7.71,3.33,1.67,3.95,6.35,-1.15,11.1,9.16
,NFJ Small Cap Value,SAUSA000O9,US SA Small Value,SV,,02/01/89,1.19,1.97,7.08,12.06,1.23,2.31,5.08,5.5,1.85,15.51,12.05
,NFJ International Value,F00000GWWV,US SA Foreign Large Value,FV,,03/01/03,-2.92,-4.89,5.02,-0.83,6.37,4.46,5.88,4.2,-1.54,13.48,0.79
,Allianz Focused Growth,SAUSA004ZM,US SA Large Growth,LG,,04/01/88,-2.17,1.86,5.37,-2.1,8.91,5.42,6.77,8.07,2.22,24.35,13.56
,Allianz Disciplined US Core Equity,SAUSA00283,US SA Large Growth,LG,,02/01/94,1.64,3.66,3.75,1.9,,,,,,,
,Allianz Global Sustainability,F00000VZVD,US SA World Large Stock,WS,,02/01/99,-1.29,1.65,6.56,-2.53,7.6,5.24,5.73,5.19,-0.43,16.54,9.68
