AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Franklin Templeton ,Franklin Intermediate Fixed SMA,SAUSA001E1,Intermediate-Term Bond,CI,,03/31/94,2.55,1.42,0.1,-1.93,0.67,0.95,0.64,-0.03,-1.14,0.41,0.98
Franklin Templeton ,Franklin Intermediate Municipal SMA,SAUSA04AFH,Muni National Interm,MI,,03/31/95,1.52,1.83,-0.13,-2.9,1.28,1.59,0.66,0.17,-0.94,1.48,1.68
Franklin Templeton ,Franklin Multi Strategy Municipal SMA,F00000LJ03,Intermediate-Term Bond,CI,,09/30/06,1.62,2.93,-0.05,-3.86,1.31,1.97,0.7,0.67,-1.13,2.2,2.15
Franklin Templeton ,Franklin Small Cap Growth SMA,F00000JRT2,Small Growth,SG,,12/31/97,-6.51,4.66,11.11,0.14,5.46,3.24,5.51,6.82,6.91,24.4,9.34
Franklin Templeton ,Templeton International Equity SMA,FOUSA08N04,Foreign Large Value,FV,,11/30/99,-2.87,-3.27,7.04,1.65,6.63,5.41,5.22,3.63,-1.65,13.04,4.39
Franklin Templeton ,Franklin DynaTech SMA,F00000X34P,Large Growth,LG,,06/30/15,-5.98,2.6,10.31,-4.74,12.93,7.99,6.16,5.72,7.52,30.31,N/A
Franklin Templeton ,Franklin Growth Opportunities SMA,F00000X34Q,Large Growth,LG,,06/30/15,-5.68,-0.42,6.91,-1.49,11.37,4.15,5.26,5.6,5.44,22.06,N/A
Franklin Templeton ,Franklin Rising Dividends SMA,F00000X34R,Large Blend,LB,,06/30/15,4.97,4.5,3.35,1.47,4.83,2.92,5.1,6.99,-2.52,12.81,N/A
Franklin Templeton ,Templeton Global Equity SMA,F00000V5RK,World Large Stock,WS,,11/30/99,-2.71,-1.91,7.12,4.15,6.13,4.29,4.78,3.99,-0.98,12.52,5.85
Franklin Templeton ,Templeton World Balanced SMA,F00000V5RL,World Allocatoin ,IH,,11/30/02,-1.4,-1.06,5.06,2.39,4.56,3.25,3.58,2.39,-0.88,9.11,4.41
Franklin Templeton ,Templeton Foreign ADR Only SMA,F00000X34V,Foreign Large Value,FV,,06/30/15,0.29,0.21,7.06,3.02,7.09,2.98,3.15,3.42,-2.63,6.97,N/A
