AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Invesco,Invesco Charter SMA,SAUSA004ZB,Large Core,LB,,09/01/04,2.693,2.2,4.43,1.126,4.139,3.28,2.281,2.244,-1.179,6.734,5.639
Invesco,Invesco Comstock SMA,FOUSA08YWK,Domestic Value Equity,LV,,06/01/01,-1.383,2.181,6.941,10.309,2.684,1.778,6.698,7.607,-2.348,14.113,9.676
Invesco,Invesco Conservative Growth Active Balanced SMA,F00000VWWW,Conservative Allocation,CA,,04/01/15,2.363,2.723,1.315,-0.824,3.077,2.7,2.328,3.488,-0.962,7.71,3.814
Invesco,Invesco Conservative Growth Strategic Balanced SMA,F00000VWWZ,Conservative Allocation,CA,,04/01/15,3.57,2.685,1.658,-1.635,2.998,2.647,2.16,2.067,-1.499,5.428,3.816
Invesco,Invesco Cornerstone Series: Total Beta 20 Portfolio,F00000ZQNC,Conservative Allocation,XY,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.699,-0.67,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta 30 Portfolio,F00000ZQND,Conservative Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.195,-0.643,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta 40 Portfolio,F00000ZQNE,Moderate Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.691,-0.617,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta 50 Portfolio,F00000ZQNG,Moderate Allocation,MA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.082,-0.202,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta 60 Portfolio,F00000ZQNH,Moderate Allocation,MA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.482,0.211,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta 70 Portfolio,F00000ZQNQ,Aggressive Allocation,AL,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.065,0.459,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta 80 Portfolio,F00000ZQNR,Aggressive Allocation,AL,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.638,0.698,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 20 Portfolio,F00000ZR6J,Conservative Allocation,XY,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.661,-0.735,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 30 Portfolio,F00000ZR6L,Conservative Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.135,-0.708,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 40 Portfolio,F00000ZR6P,Moderate Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.615,-0.683,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 50 Portfolio,F00000ZR6S,Moderate Allocation,MA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.979,-0.277,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 60 Portfolio,F00000ZR6T,Moderate Allocation,MA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.337,0.135,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 70 Portfolio,F00000ZR6X,Aggressive Allocation,AL,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.889,0.378,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II 80 Portfolio,F00000ZR6Y,Aggressive Allocation,AL,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.436,0.614,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 20 Portfolio,F00000ZRDF,Conservative Allocation,XY,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.787,-0.67,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 30 Portfolio,F00000ZRDI,Conservative Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.245,-0.654,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 40 Portfolio,F00000ZRDJ,Moderate Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.708,-0.639,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 50 Portfolio,F00000ZRDL,Moderate Allocation,MA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.055,-0.237,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 60 Portfolio,F00000ZRDM,Moderate Allocation,MA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.397,0.165,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 70 Portfolio,F00000ZRDQ,Aggressive Allocation,AL,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.937,0.404,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta II Tax Aware 80 Portfolio,F00000ZRDR,Aggressive Allocation,AL,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.465,0.633,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta Tax Aware 20 Portfolio,F00000ZQZI,Conservative Allocation,XY,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.814,-0.657,N/A,N/A
Invesco,Invesco Cornerstone Series: Total Beta Tax Aware 30 Portfolio,F00000ZQZK,Conservative Allocation,CA,,10/01/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.295,-0.633,N/A,N/A
