AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,4Q 2017,3Q 2017,2Q 2017,1Q 2017,4Q 2016,3Q 2016,2Q 2016,1Q 2016,1Q 2018      1-Year,1Q 2018       3-Year
,Developing Markets Equity Select ADR - SMA,F00000LZVI,Diversified Emerging Mkts ,EM,Emerging Mkt Equity - Unhedged,04/01/11,5.788573652,14.71478276,6.424196022,14.09888149,-4.171387888,10.04319201,6.202147128,8.4673,32.65375021,5.685037477
,Developing Markets Equity Select ADR/GDR,F00000XAYD,Diversified Emerging Mkts,EM,Diversified Emerging Markets,01/03/07,4.776306676,13.63048871,6.63932239,13.82944297,-2.23392045,10.38731453,5.350770043,7.248124906,30.17092143,6.31268913
,Emerging Markets Core Equity Select ADR - SMA,F00000XNDQ,Diversified Emerging Mkts,EM,Diversified Emerging Markets,07/01/14,7.352543762,11.40178565,7.25129694,12.73580189,-5.531943464,9.40066595,3.394394395,0.609260871,32.1949646,13.12595096
,Emerging Markets Equity Blend Asia ADR,F00000YHWF,Pacific/Asia ex-Japan Stk ,PJ,Pacific/Asia ex-Japan,12/01/14,8.391309756,9.020217473,8.474768082,15.0213467,-6.939873366,13.08578325,3.315446231,3.326818688,25.46731419,14.10635676
,Emerging Markets Equity Select ADR - SMA,FOUSA08ZYF,Diversified Emerging Mkts ,EM,Diversified Emerging Markets,06/01/04,8.31518467,8.63906032,1.536656778,12.24659931,-3.060720225,9.202368635,4.84866447,10.1506081,23.13565617,11.38102725
,Emerging Markets Equity Select ADR/GDR,Not in M*,,EM,,,7.7,7.48,2.72,13.11,-3.05,9.74,4.94,7.98,,
,European Equity Select ADR - SMA,SAUSA000VN,Europe Stock ,ES,Europe,06/01/99,2.809302682,5.899497883,6.394988549,7.027159178,-4.211474346,2.569233477,-1.123764816,-1.371791291,14.46954362,4.885316454
,Global Balanced Select ADR - SMA,FOUSA088KH,Allocation--50% to 70% Equity ,MA,Global Allocation )Global Balanced),05/02/94,3.828132667,3.506472988,3.864776519,5.151981143,-2.114725015,3.276934553,1.616584578,0.466937378,11.50687704,6.355192614
,Global Core Plus Fixed Income,FOUSA05YV8,World Bond,IB,Global Bond - Unhedged,07/02/90,0.91685763,1.71166953,3.419043059,2.712955545,-7.041596381,1.685683653,1.784477145,5.611734084,7.534289823,3.17955739
,Global Equity Advantage,FOUSA06V33,World Large Stock ,WS,World Large Core,01/02/08,6.06884252,6.527519463,4.204099543,5.98718257,4.380520895,4.040660482,-0.907023684,-0.557706856,16.84139325,9.619193528
