AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,,ADHESION WEALTH ADVISOR SOLUTIONS,T1236,UMA,Model Delivery - NFJ Pure Large Cap Value,F00000GWWW,Model Delivery,Model,US SA Large Value,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20491009,,,,
,,AMERIPRISE FINANCIAL GROUP,6363,Select Separate Account Platform,Model Delivery - NFJ Pure Large Cap Value,F00000GWWW,Model Delivery,Model,US SA Large Value,LV,,,2.004508,,,,,2.034882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ATRIA INVESTMENTS LLC,T1240,UMA,Model Delivery - NFJ Pure Large Cap Value,F00000GWWW,Model Delivery,Model,US SA Large Value,LV,,,,,,,,1.57859838,,,,,1.70432075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BB&T ASSET MANAGEMENT INC.,T1283,UMA,Model Delivery - NFJ Pure Large Cap Value,F00000GWWW,Model Delivery,Model,US SA Large Value,LV,,,3.13583719,,,,,3.46781871,,,,,3.48868825,,,,,2.90713345,,,,,2.19522288,,,,,1.55750651,,,,,,,,,,,,,,,,,,,
,,BRINKER CAPITAL INC,38123,Model Delivery Platform,Model Delivery – Allianz Global Sustainability,F00000VZVD,Model Delivery,Model,US SA World Large Stock,WS,,,,,,,,,,,,,3.88623112,,,,,3.55997372,,,,,4.4162723,,,,,4.69852238,,,,,4.899823,,,,,5.04795376,,,,,4.86162716,,,,
,,EDWARD D JONES & CO,250,Advisory Solutions (UMA),Model Delivery - NFJ Dividend Value,SAUSA000OD,Model Delivery,Model,US SA Large Value,LV,,,32.83964181,,,,,35.34958739,,,,,46.8423197,,,,,45.79281579,,,,,47.57906499,,,,,33.35158808,,,,,,,,,,,,,,,,,,,
,,ENVESTNET,104145,Managed Account Solutions,Model Delivery - Allianz Focused Growth: MA,F00000ISAI,Model Delivery,Model,US SA Allocation--50% to 70% Equity,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.613362,,,,,0.644097,,,,,,,,,,,,,,
,,ENVESTNET,104145,Managed Account Solutions,Model Delivery - NFJ International Value,F00000GWWV,Model Delivery,Model,US SA Foreign Large Value,FV,,,6.743009,,,,,5.116642,,,,,4.191106,,,,,3.930097,,,,,3.046876,,,,,2.40396,,,,,2.554175,,,,,2.878375,,,,,2.009855,,,,
,,ENVESTNET,104145,Managed Account Solutions,Model Delivery - NFJ Dividend Value,SAUSA000OD,Model Delivery,Model,US SA Large Value,LV,,,7.181082,,,,,6.29602,,,,,6.07153,,,,,11.595442,,,,,12.059116,,,,,18.615421,,,,,19.719451,,,,,19.08459,,,,,18.677725,,,,
,,ENVESTNET,104145,Managed Account Solutions,Model Delivery - NFJ Pure Large Cap Value,F00000GWWW,Model Delivery,Model,US SA Large Value,LV,,,0.559758,,,,,0.137901,,,,,0.140828,,,,,0.153466,,,,,0.157968,,,,,0.264664,,,,,0.273544,,,,,0.284645,,,,,1.001258,,,,
,,ENVESTNET,104145,Managed Account Solutions,Model Delivery - NFJ Small Cap Value,SAUSA000O9,Model Delivery,Model,US SA Small Value,SV,,,3.205407,,,,,3.332067,,,,,3.550922,,,,,3.961925,,,,,3.819668,,,,,3.5204,,,,,3.703166,,,,,3.638288,,,,,3.628952,,,,
,,FOLIODX /DYNASTY WEALTH MGMT,48015,UMA,Model Delivery - NFJ Pure Large Cap Value,F00000GWWW,Model Delivery,Model,US SA Large Value,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511648,,,,,0.51660139,,,,,0.50742825,,,,
,,FOLIODX /DYNASTY WEALTH MGMT,48015,UMA,Model Delivery - NFJ Dividend Value,SAUSA000OD,Model Delivery,Model,US SA Large Value,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45268355,0,0,0,,0.60981008,,,,
,,MERRILL LYNCH GROUP,7691,IAP / Merrill One ,Allianz Multi Firm CDP w/Mid-Cap Growth III,n/a,Model Delivery,Model,n/a,MG,,,346.5078317,,,,,324.4455386,,,,,346.4778695,,,,,325.4082692,,,,,287.4654287,,,,,275.1201418,,,,,287.5567972,,,,,294.5471693,,,,,285.2663224,,,,
,,MERRILL LYNCH GROUP,7691,IAP / Merrill One ,Allianz Multi Firm CDP w/Mid-Cap Growth IV,n/a,Model Delivery,Model,n/a,MG,,,1050.859489,,,,,922.3461591,,,,,997.0353883,,,,,960.2761043,,,,,944.9466497,,,,,933.0159411,,,,,929.2117675,,,,,918.7271723,,,,,893.7104568,,,,
,,MERRILL LYNCH GROUP,7691,IAP / Merrill One ,Allianz Multi Firm CDP w/Mid-Cap Growth V,n/a,Model Delivery,Model,n/a,MG,,,517.0379722,,,,,434.7309266,,,,,483.3468305,,,,,446.4783488,,,,,434.962611,,,,,437.5514658,,,,,434.7667854,,,,,444.9902628,,,,,445.5774728,,,,
