AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Brandes,BMO Nesbitt Burns,BMO Nesbitt Burns,,Architect Program,Global Equity,F00000V6WS,Model Delivery,Foreign Equity - World Large Value,,,214,79.130732,0,-2.037719,-2.037719,0,74.78399,0,-3.297182,-3.297182,0,18.075473,0,-23.508001,-23.508001,0,60.106054,0,-11.151015,-11.151015,0,65.421941,0,0,0,0,65.24179,0,0,0,0,67.11639,0,0,0,0,60.629197,0,0,0,0,55.952387,0,0,0,0
Brandes,BMO Nesbitt Burns,BMO Nesbitt Burns,,Architect Program,International Equity,F00000V6WT,Model Delivery,Foreign Equity - International All-Cap Value,,,43,15.412156,0,0,0,0,8.131501,0,-0.342677,-0.342677,0,3.508341,0,-3.177995,-3.177995,0,13.670462,0,-3.513066,-3.513066,0,13.895352,0,0,0,0,13.873693,0,0,0,0,12.160886,0,0,0,0,11.587104,0,0,0,0,12.794682,0,0,0,0
Brandes,BMO Nesbitt Burns,BMO Nesbitt Burns,,Architect Program,U.S. Value Equity,F00000V6WV,Model Delivery,Domestic Equity - All-Cap Value,,,96,23.966876,0,-0.389063,-0.389063,0,13.724201,0,-1.451449,-1.451449,0,5.610859,0,-4.902589,-4.902589,0,26.188204,0,-5.114426,-5.114426,0,25.247563,0,0,0,0,25.524478,0,0,0,0,22.919528,0,0,0,0,21.597847,0,0,0,0,21.616297,0,0,0,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Access,Core Plus Fixed Income,F00000V7EP,Sub Advisory Wrap,Domestic Taxable Bond - Core Plus Bond,,,7,4.979735015,0,-0.79564154,-0.79564154,0,4.303148,0.004757,-1.15430162,-1.14954462,0,4.161319,0.25,-0.45090208,-0.20090208,0,4.081512,0,-0.007,-0.007,0,4.114219,0,-0.24061709,-0.24061709,0,4.152084,0,0,0,0,4.174616,0.24199767,-0.41595673,-0.17395906,0,3.996969,0,0,0,0,4.007662,0.05,-0.31028192,-0.26028192,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Marketplace,Core Plus Fixed Income,F00000V7EP,Dual Contract,Domestic Taxable Bond - Core Plus Bond,,,1,0.10884145,0,0,0,0,0.11217062,0,0,0,0,0.1141082,0,0,0,0,0.11250498,0,0,0,0,0.11360173,0,0,0,0,0.11495319,0,0,0,0,0.1158339,0,0,0,0,0.11598141,0,0,0,0,0.11513763,0,0,0,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Marketplace,Emerging Markets Equity,SAUSA004TO,Dual Contract,Foreign Equity - Emerging Mkt Equity - Unhedged,,,11,7.75496536,0.1,-0.00577194,0.09422806,0,8.75457032,0,-0.00864883,-0.00864883,0,9.30351736,0.00006271,-0.00932806,-0.00926535,0,9.40059718,0.00003525,-0.00994001,-0.00990476,0,10.20988372,0.00002288,-0.0143296,-0.01430672,0,10.50641839,0.04,-0.0108322,0.0291678,0,12.1128643,0.39760632,-0.0115862,0.38602012,0,12.10339828,0,-0.01351351,-0.01351351,0,12.2256713,0,-0.01335142,-0.01335142,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Marketplace,Emerging Markets Value Equity,F00000V60L,Dual Contract,Foreign Equity - Diversified Emerging Markets,,,1,0.23185939,0,0,0,0,0.2348355,0,0,0,0,0.25416928,0,0,0,0,0.26142458,0,0,0,0,0.28671821,0,0,0,0,0.2915058,0,0,0,0,0.32375795,0,0,0,0,0.33161936,0,0,0,0,0.14418931,0,-0.2000085,-0.2000085,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Access,Emerging Markets Value Equity,F00000V60L,Sub Advisory Wrap,Foreign Equity - Diversified Emerging Markets,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390962,0,0,0,0,0.430343,0,0,0,0,0.44737,0,0,0,0,0.44483,0,0,0,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Access,Enhanced Income ,F00000V7EQ,Sub Advisory Wrap,Balanced (Allocation) - Conservative Allocation,,,36,15.85236665,0.03270013,-0.42876974,-0.39606961,0,12.138289,0.267,-4.31662659,-4.04962659,0,12.440802,0.05,-0.042586,0.007414,0,12.455955,0.525,-0.54953505,-0.02453505,0,12.943407,1.08249094,-0.90573654,0.1767544,0,12.761116,0,-0.3884623,-0.3884623,0,13.094757,0.38855682,-0.30363103,0.08492579,0,13.760836,0.649578,-0.16395448,0.48562352,0,13.947802,0.41660404,-0.05672621,0.35987783,0
Brandes,Charles Schwab,Charles Schwab,,Managed Account Marketplace,Enhanced Income ,F00000V7EQ,Dual Contract,Balanced (Allocation) - Conservative Allocation,,,1,0.44216719,0,0,0,0,0.45563454,0,0,0,0,0.468687,0,0,0,0,0.47281782,0,0,0,0,0.48271853,0,0,0,0,0.49314143,0,0,0,0,0.50522716,0,0,0,0,0.51335883,0,0,0,0,0.51027364,0,0,0,0
