AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,AdvisoryPlatformCode,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Delaware,,1ST GLOBAL ADVISOR,30349,Asset Management Program (UMA),,Large Cap Value,SAUSA001KK,Model AUA,Model,Large Cap Value,LV,,0,20.567059,,,,,22.382417,,,,,25.391439,,,,,26.664434,,,,,27.137397,,,,,26.864311,,,,,0,,,,,0,,,,,0,,,,
Delaware,,Ameriprise,6363,Select Separate Accounts Program,,Large Cap Value,SAUSA001KK,Model AUA,Model,Large Cap Value,LV,,1,45.051096,,,,,50.030714,,,,,54.135511,,,,,56.85655,,,,,39.378952,,,,,35.991483,,,,,36.307239,,,,,35.598989,,,,,35.155734,,,,
Delaware,,Baird Robert W.,8158,Baird Preferred Manager,,International Equity ADR,SAUSA001LV,Core,Trad,Foreign Large Value,FV,,297,70.82040612,,,,,71.49591513,,,,,74.14615581,,,,,73.29646579,,,,,83.41874587,,,,,85.88605294,,,,,90.37522889,,,,,96.76655759,,,,,98.8046248,,,,
Delaware,,Baird Robert W.,8158,Baird Preferred Manager,,Large Cap Value,SAUSA001KK,Core,Trad,Large Cap Value,LV,,162,35.57090405,,,,,42.46046818,,,,,53.04033769,,,,,58.32991517,,,,,58.83741357,,,,,54.58245966,,,,,55.51218837,,,,,57.10372324,,,,,55.88141545,,,,
Delaware,,Brinker Capital Mgt,38123,Brinker UMA,,Large Cap Value,SAUSA001KK,Model AUA,Model,Large Cap Value,LV,,1,0.00000001,,,,,0.00000001,,,,,13.491572,,,,,143.06429,,,,,148.316688,,,,,142.790101,,,,,148.299399,,,,,154.749639,,,,,149.730625,,,,
Delaware,,Brinker Capital Mgt,38123,Manager of Managers,,Large Cap Value,SAUSA001KK,Core,Trad,Large Cap Value,LV,,0,137.7750754,,,,,150.86244,,,,,143.4518757,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
Delaware,,Callan-Natixis,1101,CALLAN UMA,,Large Cap Value,SAUSA001KK,Model AUA,Model,Large Cap Value,LV,,1,15.305942,,,,,17.872254,,,,,18.648015,,,,,28.546808,,,,,29.536606,,,,,30.340449,,,,,30.695803,,,,,31.896737,,,,,30.45864,,,,
Delaware,,Citigroup,7059,CITIPB-MSP (LOC APL),,Intermediate Aggregate US Gov,FOUSA08NNX,Core,Trad,Intermediate Government,GI,,12,1.92677848,,,,,1.65254958,,,,,1.54577169,,,,,1.36856023,,,,,1.26976148,,,,,1.348066,,,,,1.34551537,,,,,1.29251272,,,,,1.53525263,,,,
Delaware,,Citigroup,7059,Fiduciary Services,,Intermediate Aggregate US Gov,FOUSA08NNX,Core,Trad,Intermediate Government,GI,,1,0.50286556,,,,,0.50759797,,,,,0.50743634,,,,,0.26845268,,,,,0.26896456,,,,,0.27021355,,,,,0.27080303,,,,,0.2694509,,,,,0.26676473,,,,
Delaware,,Citigroup,7059,Fiduciary Services,,International Equity ADR,SAUSA001LV,Core,Trad,Foreign Large Value,FV,,149,107.2696366,,,,,105.8474962,,,,,105.4255331,,,,,105.2048625,,,,,115.2827956,,,,,118.8909562,,,,,128.4534679,,,,,153.8052626,,,,,158.1993723,,,,
Delaware,,Dain Raucher,31194,Advisor Select,,Aggregate - Low Turnover,FOUSA08NNW,Core,Trad,Intermediate Government,GI,,1,3.62222661,,,,,3.67359398,,,,,3.67020482,,,,,3.4403421,,,,,0.29086055,,,,,0.29321577,,,,,0.29366234,,,,,0.09717659,,,,,0.09578612,,,,
Delaware,,Dain Raucher,31194,Advisor Select,,Intermediate Aggregate - Low Turnover,FOUSA08NNX,Core,Trad,Intermediate Government,GI,,19,12.45817075,,,,,11.95850685,,,,,11.06898745,,,,,10.36356804,,,,,9.25920442,,,,,8.80342412,,,,,8.69943488,,,,,8.57203059,,,,,8.34275108,,,,
