AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,AdvisoryPlatformCode,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,Schwab,Charles Schwab,5393,Market Place,,Franklin Small Cap Growth SMA,F00000JRT2,Dual,Dual ,Small Growth,SG,,0.001,5.328744,0.00076566,0.00048284,0.00028282,0,5.595465,0,0.00045296,-0.00045296,0,6.245145,0,0.00047569,-0.00047569,0,6.21024,0,0.00053037,-0.00053037,0,6.526703,0.0010354,0.00088068,0.00015472,0,6.702561,0,0.00055477,-0.00055477,0,7.078133,0.00045804,0.00099261,-0.00053457,0,7.583096,0,0,0,0,8.011047,0.00024635,0.13208103,-0.13183468,0
,,Callan Associates,T1259,Direct with FTPA,,Franklin Small Cap Growth SMA,F00000JRT2,Dual,Dual ,Small Growth,SG,,0,6.660546,0,0,0,0,0,6.68520552,0,6.68520552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Cap Trust,T1260,Direct with FTPA,,Franklin Small Cap Growth SMA,F00000JRT2,Dual,Dual ,Small Growth,SG,,0.001,11.640554,0,0,0,0,11.714495,0,0.5,-0.5,0,13.129043,0.00344493,0,0.00344493,0,12.647877,0.00048615,0.4,-0.39951385,0,13.262249,0.00236423,0,0.00236423,0,13.705858,0,0,0,0,14.490083,0,0,0,0,15.450971,0,0,0,0,16.265946,0.00239098,0.556835,-0.55444402,0
,,"Cardinal Investment Advisors, LLC",T1261,Direct with FTPA,,Templeton International Equity SMA,FOUSA08N04,Dual,Dual ,Foreign Large Value,FV,,0,35.925429,0,0,0,0,34.79001,0,0,0,0,37.218665,0,0,0,0,0,0,36.93076513,-36.93076513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Charles Schwab,Charles Schwab,5393,Market Place,,Franklin Inter Inv Grade Credit SMA,FT INVGR,Dual,Dual ,,,,0.004,6.59889,0.28,0.7269735,-0.4469735,0,6.995561,0.283,0,0.283,0,7.003545,0,0.019,-0.019,0,6.700602,0,0.159,-0.159,0,2.163674,0,4.55880743,-4.55880743,0,2.189296,0,0,0,0,1.955988,0,0.25,-0.25,0,1.963995,0.06808298,0.062,0.00608298,0,1.792534,0,0.138,-0.138,0
,Charles Schwab,Charles Schwab,5393,Market Place,,Franklin Intermediate Fixed SMA,SAUSA001E1,Dual,Dual ,Intermediate-Term Bond,CI,,0.003,3.79716,0,0.27253908,-0.27253908,0,3.621536,0,0.22075359,-0.22075359,0,3.622858,0,0,0,0,1.608037,0,1.94552089,-1.94552089,0,1.320721,0,0.29643991,-0.29643991,0,0.885487,0,0.44151337,-0.44151337,0,0.895373,0,0,0,0,0.894296,0,0,0,0,0.883474,0,0,0,0
,Charles Schwab,Charles Schwab,5393,Market Place,,Franklin Intermediate Government SMA,FTINTGOV,Dual,Dual ,,GI,,0.001,0,0,0,0,0,1.007521,1,0,1,0,1.006456,0,0,0,0,0.984208,0,0,0,0,0.989146,0,0,0,0,1.695065,0.7,0,0.7,0,1.698752,0,0,0,0,1.692692,0,0,0,0,1.906575,0.225,0,0.225,0
,Charles Schwab,Charles Schwab,5393,Market Place,,Franklin Intermediate Municipal SMA,SAUSA04AFH,Dual,Dual ,Muni National Interm,MI,,0.014,25.897031,0.2534621,6.27445885,-6.02099675,0,28.068934,1.73,0.03048122,1.69951878,0,28.991754,0.9999355,0.00751262,0.99242288,0,21.111715,0.325,7.2752718,-6.9502718,0,23.35781,6.1,4.14004298,1.95995702,0,28.114854,4.46833143,0.11409857,4.35423286,0,27.410199,0,1.77403209,-1.77403209,0,26.931741,1.2,1.66836523,-0.46836523,0,27.048976,0.8,0.44082461,0.35917539,0
,Charles Schwab,Charles Schwab,5393,Market Place,,Templeton International Equity SMA,FOUSA08N04,Dual,Dual ,Foreign Large Value,FV,,0,0.662846,0,0.68830079,-0.68830079,0,0.638674,0,0,0,0,0.681368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"DiMeo Schneider & Associates, LLC",T1262,Direct with FTPA,,Templeton International Equity SMA,FOUSA08N04,Dual,Dual ,Foreign Large Value,FV,,0,2.570464,0.59539901,0.0870362,0.50836281,0,2.307571,0.11813488,0.31321368,-0.1950788,0,2.441916,0.06681073,0.09986353,-0.0330528,0,2.240977,0.00066834,0.23835528,-0.23768694,0,2.382679,0.04767319,0.05491163,-0.00723844,0,2.455224,0.12948566,0.19094362,-0.06145796,0,2.572494,0.08941176,0.10032616,-0.0109144,0,2.581164,0.00762666,0.0919295,-0.08430284,0,2.43869,0.07956163,0.18711096,-0.10754933,0
,,Direct with FTPA,,Direct with FTPA,,Franklin Intermediate Fixed SMA,SAUSA001E1,dual,Dual ,Intermediate-Term Bond,CI,,0.001,6.909257,0.12605472,0,0.12605472,0,6.998499,0,0,0,0,7.000531,0,0,0,0,6.869187,0.00347435,0,0.00347435,0,6.908338,0,0,0,0,6.969064,0,0,0,0,7.008426,0,0,0,0,7.001023,0,0,0,0,6.914555,0,0,0,0
,,Direct with FTPA,,Direct with FTPA,,Franklin Intermediate Municipal SMA,SAUSA04AFH,Dual,Dual ,Muni National Interm,MI,,0.009,57.307391,0.07591372,0.26548838,-0.18957466,0,57.894965,0.02488302,0.38309527,-0.35821225,0,59.948249,2.40222146,0.25960695,2.14261451,0,63.233143,1.02647185,0.43951075,0.5869611,0,67.47336,3.82412481,0.29083623,3.53328858,0,68.143894,0.02502162,0.35588563,-0.33086401,0,68.324434,0.07207936,0.35047246,-0.2783931,0,68.758808,0.06893524,0.39129307,-0.32235783,0,67.843542,0.54881905,0.4141156,0.13470345,0
,,Direct with FTPA,,Direct with FTPA,,Franklin Limited Maturity Municipal SMA,FTLMUNI,Dual,Dual ,,,,0,6.788462,0,0.081,-0.081,0,6.708547,0,0.132,-0.132,0,6.697894,0,0.005,-0.005,0,6.564927,0,0.007,-0.007,0,6.06868,0,0.57016186,-0.57016186,0,6.117534,0,0.00024929,-0.00024929,0,0,0,6.11913905,-6.11913905,0,0,0,0,0,0,0,0,0,0,0
,,FiduciaryVest LLC,T1263,Direct with FTPA,,Templeton International Equity SMA,FOUSA08N04,Dual,Dual ,Foreign Large Value,FV,,0.002,41.38205,2.28219576,0.00760925,2.27458651,0,40.942054,0.96861323,0.14039434,0.82821889,0,43.925871,0.01014684,0.26781214,-0.2576653,0,44.567226,0.00925804,0.00897145,0.00028659,0,47.57491,0.2501659,0.4566446,-0.2064787,0,49.28192,0.00012584,1.11021556,-1.11008972,0,51.74021,0.00147293,0.1,-0.09852707,0,53.810159,0.00070613,0,0.00070613,0,52.899021,0.00088063,0,0.00088063,0
