AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,AdvisoryPlatformCode,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Lazard Asset Management LLC,,Envestnet Asset Management Inc.,111694,,,LCAS Global Diversified 25/75 Non-taxable,F00000LZ6A,Model-Delivered,Model,Allocation--30% to 50% Equity,CA,Tactical Asset Allocation Balanced,,1.878,0.182,,0.182,,2.02,0.122,,0.122,,2.053,,,0,,2.041,0.054,,0.054,,2.069,,,0,,0.607,,,0,,2.201,0.07,,0.07,,0.339,0.185,2.058,-1.873,,,,,,
Lazard Asset Management LLC,,Envestnet Asset Management Inc.,111694,,,LCAS Global Diversified 25/75 Taxable,F00000LZ42,Model-Delivered,Model,Allocation--30% to 50% Equity,CA,Tactical Asset Allocation Balanced,,0.526,0.66,,0.66,,0.534,,,0,,0.545,,,0,,0.582,0.057,,0.057,,0.601,,,0,,,,,0,,0.788,0.168,,0.168,,0.539,,0.251,-0.251,,,,,,
Lazard Asset Management LLC,,Merrill,7691,,,U.S. Intermediate Core Fixed Income,FOUSA088J8,Dual,Dual,Short-Term Bond ,CS,(1) Domestic Taxable Bond - Core Bond (2) Domestic Taxable Bond - Intermediate Investment Grade (4-6),,6.724,,,0,,6.741,,,0,,6.792,,,0,,6.638,,,0,,7.133,,,0,,7.106,,,0,,7.059,,,0,,7.245,,,0,,,,,,
Lazard Asset Management LLC,,"Charles Schwab & Co., Inc.",5393, ,,Developing Markets Equity Select ADR,F00000LZVI,Dual,Dual,Diversified Emerging Mkts ,EM,Emerging Mkt Equity - Unhedged,,1.76,,,0,,1.627,,,0,,1.792,,,0,,1.726,,,0,,1.961,,,0,,1.812,,,0,,2.025,,,0,,2.125,,,0,,,,,,
Lazard Asset Management LLC,,Fidelity Investments,108252,,,Developing Markets Equity Select ADR,F00000LZVI,Dual,Dual,Diversified Emerging Mkts ,EM,Emerging Mkt Equity - Unhedged,,0.119,,0.432,-0.432,,0.124,,,0,,0.137,,,0,,0.132,,,0,,0.15,,,0,,0.158,,,0,,0.182,,,0,,0.192,,,0,,,,,,
Lazard Asset Management LLC,,JP Morgan Chase Bank,,,,Developing Markets Equity Select ADR,F00000LZVI,Dual,Dual,Diversified Emerging Mkts ,EM,Emerging Mkt Equity - Unhedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,0.25,,0.25,,1.658,,,0,,,,,,
Lazard Asset Management LLC,,"Charles Schwab & Co., Inc.",5393, ,,Emerging Markets Equity Select ADR,FOUSA08ZYF,Dual,Dual,Diversified Emerging Mkts ,EM,Diversified Emerging Markets,,22.207,,,0,,23.051,,,0,,24.041,0.24,,0.24,,23.402,,,0,,30.354,,,0,,30.507,,,0,,33.795,0.75,,0.75,,32.316,0.985,,0.985,,,,,,
Lazard Asset Management LLC,,Fidelity Investments,108252,,,Emerging Markets Equity Select ADR,FOUSA08ZYF,Dual,Dual,Diversified Emerging Mkts ,EM,Diversified Emerging Markets,,3.509,,,0,,3.668,,,0,,4.015,,,0,,3.893,,,0,,5.509,1.183,,1.183,,11.423,2.967,,2.967,,12.742,0.25,,0.25,,15.659,1.787,0.29,1.497,,,,,,
Lazard Asset Management LLC,,JP Morgan Chase Bank,,,,Emerging Markets Equity Select ADR,FOUSA08ZYF,Dual,Dual,Diversified Emerging Mkts ,EM,Diversified Emerging Markets,,8.169,,,0,,8.563,,,0,,9.397,,,0,,9.078,2,2.04,-0.04,,11.377,11.632,,11.632,,22.828,,,0,,24.953,0.3,,0.3,,26.957,,,0,,,,,,
Lazard Asset Management LLC,,"Lockwood Advisors, Inc.",106108,,,Emerging Markets Equity Select ADR,FOUSA08ZYF,Dual,Dual,Diversified Emerging Mkts ,EM,Diversified Emerging Markets,,6.022,,,0,,6.29,,,0,,6.488,,,0,,6.287,,,0,,6.937,,,0,,7.007,,,0,,7.646,,,0,,8.295,,,0,,,,,,
