AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmCode,SponsorFirmId,DoverSponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,Mstar classification_name,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d,2Q 2018 a,2Q 2018 g,2Q 2018 r,2Q 2018 n,2Q 2018 d
Lord Abbett & Co LLC,JP Morgan Securities LLC,JP Morgan Securities LLC,JPM,79,79,JP Morgan/Manager Circuit(DC)/Long (National) Muni,Long Municipal,SAUSA001R5,Dual Contract,Dual,Muni National Long,ML,Tax Free Fixed Income,2,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,15513444.66,21.5,-6,15.5,N/A,25452854.64,10.5,-0.6,10,N/A
Lord Abbett & Co LLC,JP Morgan Securities LLC,JP Morgan Private Bank - Reps,JPM,79,79,JP Morgan/Stratis/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,1,377382.98,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A
Lord Abbett & Co LLC,JP Morgan Securities LLC,JP Morgan Securities LLC,JPM,79,79,JP Morgan/Stratis/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,15,11367165.99,0,-0.6,-0.6,N/A,13202968.13,1.1,-0.1,1,N/A,14205635.11,1.2,0,1.1,N/A,14042559.33,0.6,0,0.5,N/A,13657448.23,0,-0.6,-0.6,N/A,17317808.2,3.6,-0.2,3.3,N/A,17832287.94,0.8,0,0.8,N/A,17803875.75,0.9,-1.2,-0.3,N/A,17062543.16,1.4,-1.8,-0.4,N/A,16567649.86,0,-0.6,-0.6,N/A
Lord Abbett & Co LLC,Wells Fargo Advisors WBS,"J.J.B. Hilliard, W.L. Lyons, LLC.",Hiliard,453,453,Wells Fargo Advisors/Masters/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,2,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,608413.05,0.6,0,0.6,N/A,617206.1,,,,N/A,623229.49,,,,N/A,620086.79,,,,N/A,608878.42,,,,N/A,1599330.04,1,0,1,N/A
Lord Abbett & Co LLC,Wells Fargo Advisors WBS,"J.J.B. Hilliard, W.L. Lyons, LLC.",Hiliard,453,453,Wells Fargo Advisors/Masters/Long (National) Muni,Long Municipal,SAUSA001R5,Traditional,Trad,Muni National Long,ML,Tax Free Fixed Income,1,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,246831,0.5,0,0.5,N/A,251036,,,,N/A,245912.47,,,,N/A,245734,,,,N/A
Lord Abbett & Co LLC,Wells Fargo Advisors WBS,"J.J.B. Hilliard, W.L. Lyons, LLC.",Hiliard,453,453,Wells Fargo Advisors/DMA/SMID Cap Value,Smid Cap Value,SAUSA04AI4,Traditional,Trad,Small Cap Value,SV,U.S. Equity,5,,,,,N/A,,,,,N/A,,,,,N/A,,,,,N/A,474898.29,0.5,0,0.5,N/A,481108.28,0,0,0,N/A,533911.14,0,0,0,N/A,754811.56,0.2,0,0.2,N/A,728172.26,0,0,0,N/A,525084.95,0,-0.2,-0.2,N/A
Lord Abbett & Co LLC,Placemark,Janney Montgomery Scott,Janney,463,463,Placemark/UMA/Large Cap Value,Large Cap Value,SAUSA001QU,Model Delivery,Model,Large Cap Value,LV,U.S. Equity,4,477218,0,0,0,N/A,495657,0,0,0,N/A,521933,0,0,0,N/A,561724,0,0,0,N/A,600850,0,0,0,N/A,610322,0,0,0,N/A,621265,0,0,0,N/A,1298861,0,0,0,N/A,984125,0,0,0,N/A,,,,,N/A
Lord Abbett & Co LLC,Placemark,Janney Montgomery Scott LLC,Janney,463,463,Placemark/UMA/Large Cap Value,Large Cap Value,SAUSA001QU,Model Delivery,Model,Large Cap Value,LV,U.S. Equity,2,4827001,0,-0.1,-0.1,N/A,4627625,0,-0.1,-0.1,N/A,4673515,0,-0.1,-0.1,N/A,4966640,0,-0.1,-0.1,N/A,4963977,0,-0.1,-0.1,N/A,5053005,0,0,0,N/A,5200518,0,0,0,N/A,5489393,0,0,0,N/A,5332183,0,0,0,N/A,,,,,N/A
Lord Abbett & Co LLC,Raymond James & Associates Inc.,Raymond James & Associates Inc.,Raymond James,705,705,Raymond James/Consulting Services/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,80,42953334.68,11.8,-0.2,11.6,N/A,44448427,1.6,-1.1,0.6,N/A,48749958.72,6.2,-1.3,4.9,N/A,48453894.1,4.2,-2.2,2,N/A,51793966.28,3.7,-1.1,2.6,N/A,53687740.2,2.1,-1.3,0.8,N/A,54003041.41,0.8,-0.8,0,N/A,50892822.81,1.7,-4.8,-3.1,N/A,49358921.82,1.9,-2.5,-0.6,N/A,51448604.86,2.6,-0.7,1.9,N/A
Lord Abbett & Co LLC,Raymond James & Associates Inc.,Raymond James Financial Services,Raymond James,705,705,Raymond James/Consulting Services/Intermediate Municipal,Intermediate Municipal,FOUSA08Z81,Traditional,Trad,Muni National Intermediate,MI,Tax Free Fixed Income,93,35577402.29,8.7,-1.5,7.1,N/A,42164910.06,8.2,-2.3,5.9,N/A,44914106.49,3.4,-0.4,2.9,N/A,40551385.65,0.3,-2.6,-2.2,N/A,39308231.15,0.2,-2,-1.8,N/A,39944085.41,2,-2.2,-0.2,N/A,41547495.48,2.7,-1,1.7,N/A,44932263.38,4.6,-1.1,3.4,N/A,45286233.46,2.2,-0.8,1.4,N/A,47151543.17,4.4,-3.1,1.3,N/A
