"	FlowDate		SponsorFirm	SponsorFirmId	SmaStrategy		SmaProductType	SmaProductTypeCode		MorningstarStrategyId		Assets",,,
,,,
"X102	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.025",
"X102	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5321",
"X102	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5147",
"X102	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.0098",
"X102	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.055",
"X102	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5392",
"X102	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.012",
"X102	Q1-2018                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.4902",
"X102	Q2-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.515",
"X102	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.045",
"X102	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5485",
"X102	Q3-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5315",
"X102	Q4-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5527",
"X102	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.5106",
"X102	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.366",
"X102	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.3623",
"X102	Q2-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.008",
"X102	Q3-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	AUM	0.3687",
"X102	Q4-2016                          	""Nuveen(CDP",MSA,"MSP)""	H.D. Vest Investment Services	13686	SMA MDA Dom Lg Cap Bal Muni	NUBALMUNI	Dual Contract	Dual		BALMUNI	R	-0.3702",
"X104	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	7.0845",
"X104	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Advisors	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	AUM	1.6338",
"X104	Q1-2016                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.18",
"X104	Q1-2017                          	""Nuveen(CDP",MSA,"MSP)""	Wells Fargo Banking & Investment Services	19616	SMA MDA Glb Lg Cap Bal Muni	NUGLBALMUNI	Dual Contract	Dual		GLMUNI	S	0.0186",
