AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,AdvisoryPlatformCode,SmaStrategy,MorningstarStrategyId,SmaProductType,SmaProductTypeCode,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
,AssetMark UMA,"AssetMark, Inc (f.k.a Genworth Wealth Management)",169804,,,SMA Edge All-Cap,PEDGEAC,SMA Model-Only Contract,Model,US SA All Cap,allcap,,-,10.40288925,0.46129141,-0.49279056,-0.03149915,,9.3906288,0.12,-1.44865925,-1.32865925,,12.11347304,2.83343817,-0.60897006,2.22446811,,13.68353756,2.80403876,-2.58350061,0.22053815,,20.18815378,3.82516717,-0.7019709,3.12319627,,19.33879486,1.28387713,-0.94452111,0.33935602,,20.37501498,0,-0.55659608,-0.55659608,,0,0,-17.29963916,-17.29963916,,0,0,0,0,
,Access and Select,Charles Schwab Corporation,5393,,,SMA Investment Grade Corporate,F00000XO0D,SMA Single Contract,Trad,US SA Corporate Bond,TW,,203,0,0,0,0,,0,0,0,0,,0,0,0,0,,1.53145264,1.95909879,-0.39508,1.56401879,,6.37220494,4.86858391,0,4.86858391,,24.46450666,18.09927634,-0.02252379,18.07675255,,45.60467798,21.07033931,-0.79361545,20.27672386,,62.16014642,16.55151271,-0.12834249,16.42317022,,67.78123089,15.17031423,-7.7743256,7.39598863,
,Managed Account Services (MAS),Bank of America Merrill Lynch,7691,,,SMA Edge Small MidCap Dividend Income with MLPs,F00000OSQN,SMA Dual Contract,Dual,US SA High Yield Bond,HY,,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0.25597785,0.256823,0,0.256823,,0.25793262,0,0,0,,0.26856403,0,0,0,,0.2769862,0,0,0,,0.26705593,0,0,0,
,Managed Account Services (MAS),Bank of America Merrill Lynch,7691,,,SMA High Yield,F00000WJTR,SMA Dual Contract,Dual,US SA High Yield Bond,HY,,-,0,0,0,0,,0,0,0,0,,4.55329357,4.617574,-0.00211713,4.61545687,,0,0,-4.70306375,-4.70306375,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Preferred Advisor and Discretionary Portfolio Solutions,Credit Suisse First Boston,T1280,,,SMA High Yield,F00000WJTR,SMA Single Contract,Trad,US SA High Yield Bond,HY,,-,0,0,-6.598321,-6.598321,,0,0,-5.61511,-5.61511,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Consulting and Evaluation Services (CES) T3,Morgan Stanley,149777,,,SMA High Yield with 144A,F00000WJTR,SMA Dual Contract,Dual,US SA High Yield Bond,HY,,-,0,0,0,0,,29.65501936,0.00202813,-0.00234525,-0.00031712,,0,0.29453438,-0.00474781,0.28978657,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Managed Account Consulting (MAC),"UBS Financial Services, Inc.",8174,,,SMA High Yield,F00000WJTR,SMA Dual Contract,Dual,US SA High Yield Bond,HY,,-,23.17986651,22.779963,0,22.779963,,27.23841747,3.06773701,0,3.06773701,,29.15783544,0.72184225,-0.01215375,0.7096885,,31.38932651,0.62562589,-0.01637202,0.60925387,,0,0,-32.094067,-32.094067,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Select Separate Account Program,"Ameriprise Financial Services, Inc",6363,,,SMA CCI Large Cap Growth Equity,PLCGROWTH,SMA Model-Only Contract,Model,US SA Large Cap Growth,LG,,154,44.925894,2.01372,-2.856446,-0.842726,,42.151968,2.47751,-4.356529,-1.879019,,42.622041,1.420991,-3.833451,-2.41246,,37.450377,0.632038,-3.838674,-3.206636,,37.433487,0.14671,-3.8095,-3.66279,,35.867221,1.113745,-4.187287,-3.073542,,35.694881,0.401448,-3.107662,-2.706214,,36.992834,1.406364,-2.641287,-1.234923,,38.149246,0.333927,-0.865372,-0.531445,
,Managed Account Advisors (MAA),Bank of America Merrill Lynch,7691,,,SMA CCI Large Cap Growth Equity,PLCGROWTH,SMA Model-Only Contract,Model,US SA Large Cap Growth,LG,,-,0.51455601,0.00055381,-0.00349692,-0.00294311,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Merrill ONE,Bank of America Merrill Lynch,7691,,,SMA CCI Large Cap Growth Equity,PLCGROWTH,SMA Model-Only Contract,Model,US SA Large Cap Growth,LG,,69,31.61296758,0.57460589,-3.15986303,-2.58525714,,28.12006838,0.48179802,-3.48137383,-2.99957581,,29.56359855,0.67740547,-2.03153241,-1.35412694,,24.47729925,1.72125649,-5.50033126,-3.77907477,,23.21613448,1.12614992,-4.40789635,-3.28174643,,23.54246147,0.44457171,-0.84425734,-0.39968563,,24.69448737,0.49714274,-0.99940894,-0.5022662,,26.26025943,0.20749791,-0.4614309,-0.25393299,,25.79197782,0.33682728,-1.8452228,-1.50839552,
,Unified Managed Account (UMA),Bank of America Merrill Lynch,7691,,,SMA CCI Large Cap Growth Equity,PLCGROWTH,SMA Model-Only Contract,Model,US SA Large Cap Growth,LG,,-,0.59165436,0,0,0,,0.59529883,0,-0.00192128,-0.00192128,,0,0,-0.6326754,-0.6326754,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Consulting and Evaulation Services (CES) DVP T2,Morgan Stanley,149777,,,SMA Blue Chip Equity,F00000YYTQ,SMA DVP Contract,Trad,US SA Large Growth,LG,,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,10.88927578,18.0087456,-7.21885094,10.78989466,,11.28794546,0.01274352,0,0.01274352,
,Select UMA,Morgan Stanley,149777,,,SMA Blue Chip Equity,F00000YYTQ,SMA Model-Only Contract,Model,US SA Large Growth,LG,,113,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,6.97147426,6.9133475,0,6.9133475,,10.22717927,2.7916564,-0.07835762,2.71329878,,12.68284305,1.5244052,0,1.5244052,,20.078159,5.5735702,0,5.5735702,,35.810019,13.20828163,-0.154975,13.05330663,
,Separate Account Management,"FDX Advisors, Inc.",48015,,,SMA CCI Large Cap Growth Equity,PLCGROWTH,SMA Single Contract,Trad,US SA Large-Cap Growth,LG,,-,2.65342845,0,-0.939447,-0.939447,,0,0,-2.671128,-2.671128,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,
,Advisors Program,Janney Wealth Management,463,,,SMA Edge Mid-Cap Core,F00000XDN8,SMA Model-Only Contract,Model,US SA Mid-Cap Blend,MB,,100,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1.99386802,2.00849064,0,2.00849064,,4.031786,1.9195588,0,1.9195588,,4.262979,0.1059663,0,0.1059663,,20.143121,15.602525,0,15.602525,,22.01133,1.9455415,0,1.9455415,
