AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Brandes,International Equity,F00000V6WT,Foreign Equity - International All-Cap Value,FV,,12/31/03,0.00612077,-0.032555912,0.05896676,0.024401289,0.049597846,0.029077389,0.049988275,0.018648506,0.02259418,0.125537981,0.050015281
Brandes,Global Equity,F00000V6WS,Foreign Equity - World Large Value,WS,,12/31/03,-0.022329532,-0.010477304,0.058198726,0.044434058,0.044647714,0.030138244,0.043507456,0.027153298,-0.00330209,0.126328808,0.043846645
Brandes,U.S. Value Equity,F00000V6WV,Domestic Equity - All-Cap Value,LV,,12/31/03,-0.0005626,0.020668181,0.053743478,0.089758103,0.037665859,0.037866767,0.020120076,0.043920078,-0.016622288,0.095080087,0.084542193
Brandes,Core Plus Fixed Income,F00000V7EP,Domestic Taxable Bond - Core Plus Bond,CI,,01/31/07,0.029612183,0.03064365,0.016758723,-0.013625995,0.010199536,0.011043143,0.008248407,0.00067622,-0.006596645,0.003177173,0.019233141
Brandes,Global Small-Mid Cap Equity,F00000V6WW,Foreign Equity - World Mid Cap,WS,,12/31/03,0.061531621,-0.022091745,0.079626572,0.028046442,0.029406436,0.029788269,0.028754872,-0.0096083,-0.029721023,0.012163333,0.05126036
Brandes,Global Balanced,F00000V7ER,Balanced (Allocation) - Global Allocation (Global Balanced),IH,,12/31/03,0.011766662,0.001743189,0.035011281,0.038704491,0.039500631,0.014889048,0.041954611,0.014954008,-0.002795395,0.086043005,0.041130107
Brandes,Enhanced Income,F00000V7EQ,Balanced (Allocation) - Conservative Allocation,XY,,03/31/07,0.025344285,0.029482305,0.028678253,0.008668749,0.021667837,0.019996891,0.025479734,0.015616563,-0.005664963,0.055934035,0.040208008
Brandes,Emerging Markets Value Equity,F00000V60L,Foreign Equity - Diversified Emerging Markets,EM,,12/31/12,0.128384532,0.018548801,0.078491981,0.028237059,0.095368383,0.021606703,0.108716183,0.021969063,0.008669975,0.109898606,0.050528161
Brandes,U.S. Small Cap Value Equity,F00000V6WU,Domestic Equity - Small Value,SV,,12/31/03,0.037298664,-0.006205354,0.063723692,0.133363846,-0.008043112,0.030110494,0.014512688,0.012197439,-0.028263017,0.011541125,0.078317623
Brandes,European Equity,F00000V9MK,Foreign Equity - Europe,ES,,12/31/03,0.01650182,-0.055871079,0.054997224,0.031099552,0.038302795,0.0255085,0.046015901,-0.0006404,0.001470763,0.092173544,0.032151259
Brandes,Emerging Markets Equity,SAUSA004TO,Foreign Equity - Emerging Mkt Equity - Unhedged,EM,,12/31/94,0.129350482,0.031406097,0.05833597,0.016998175,0.110765466,0.015954062,0.121019313,0.009027979,0.001611358,0.1062,0.0372
Brandes,Global Small Cap Equity,FOUSA05Z36,Foreign Equity - World Small Cap,WS,,09/30/97,0.066448043,0.014921911,0.091129451,0.032991907,0.039863042,0.041395414,0.007230035,0.011616119,-0.031994748,0.016014103,0.087686135
Brandes,International Sm-Mid Cap Equity,SAUSA003JE,Foreign Equity - Foreign Small/Mid Value,FA,,09/30/97,0.042185911,-0.032169341,0.08281135,0.000780263,0.04784447,0.029800679,0.040451875,-0.016102118,-0.015957773,0.045292449,0.047172185
Brandes,International Small Cap Equity,SAUSA003TU,Foreign Equity - International Small Cap Value,FA,,12/31/94,0.044029703,-0.04350464,0.076992632,0.026568455,0.061534707,0.029763832,0.023261321,0.010312579,-0.013722012,0.066240933,0.076756766
Brandes,U.S. Small-Mid Cap Value Equity,SAUSA0021G,Domestic Equity - Mid Cap Value,MV,,09/30/97,0.056619106,0.054259532,0.084357378,0.093983261,0.016081162,0.027333377,0.011037013,0.02724643,-0.019685776,0.0236,0.1101
