AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Congress Asset Management,Balanced (Large Cap),SAUSA000M8,Allocation - 50% to 70% Equity,MA,,,1.8,0.29,2.52,0.06,5.43,3.6,4.19,4.74,1.67,14.94,7.77
Congress Asset Management,Balanced (Multi Cap),F00000XI7C,Allocation - 70% to 850% Equity,AL,,,1.15,-0.87,1.43,-0.59,4.81,3.31,3.87,4.84,1.21,13.87,5.78
Congress Asset Management,Dividend Growth,F00000QIMN,Large Blend,LB,,,4.17,2.64,3.41,2.7,3.76,2.62,3.99,8.12,0.11,15.5,9.69
Congress Asset Management,Intermediate Credit,FOUSA08YA0,Corporate Bond,TW,,,2.74,1.54,0.38,-1.89,0.87,1.08,0.76,0.18,-1.41,0.59,1.36
Congress Asset Management,Intermediate Fixed Income,SAUSA000MD,Intermediate-Term Bond,CI,,,2.53,1.31,0.08,-1.89,0.68,0.86,0.56,-0.09,-1.05,0.28,0.95
Congress Asset Management,Large Cap Growth,SAUSA000M3,Large Growth,LG,,,1.38,0.01,3.24,0.92,6.97,4.83,5.78,7.21,3.03,22.48,10.6
Congress Asset Management,Mid Cap Growth,SAUSA000MT,Mid-Cap Growth,MG,,,3.66,3.67,1.61,4.3,7.47,3.26,2.33,3.69,1.12,10.79,9.48
Congress Asset Management,Multi Cap Growth,SAUSA004ZY,Large Growth,LG,,,0.75,-1.91,2.1,-0.42,6.6,4.52,5.38,6.79,1.8,19.73,7.91
Congress Asset Management,Short Term Fixed Income,FOUSA08Y8I,Short-Term Bond,CS,,,1.57,0.84,-0.17,-1.12,0.39,0.37,0.25,-0.41,-0.42,-0.21,0.46
Congress Asset Management,Small Cap Growth,F00000WYH8,Small-Cap Growth,SG,,,-3.63,6.12,7.72,6.46,3.68,7.31,6.61,3.22,2.51,21.05,11.85
Congress Asset Management,Smid Cap Core Opportunity,FOUSA085X4,Mid-Cap Growth,MG,,,-1.47,1.23,6.75,5.99,5.44,3.32,6.72,6.63,2.17,20.12,9.32
