AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Lazard Asset Management LLC,Developing Markets Equity Select ADR - SMA,F00000LZVI,Diversified Emerging Mkts ,EM,Emerging Mkt Equity - Unhedged,04/01/11,8.4673,6.202147128,10.04319201,-4.171387888,14.09888149,6.424196022,14.71478276,5.788573652,,32.65375021,5.685037477
Lazard Asset Management LLC,Developing Markets Equity Select ADR/GDR,F00000XAYD,Diversified Emerging Mkts,EM,Diversified Emerging Markets,01/03/07,7.248124906,5.350770043,10.38731453,-2.23392045,13.82944297,6.63932239,13.63048871,4.776306676,,30.17092143,6.31268913
Lazard Asset Management LLC,Emerging Markets Core Equity Select ADR - SMA,F00000XNDQ,Diversified Emerging Mkts,EM,Diversified Emerging Markets,07/01/14,0.609260871,3.394394395,9.40066595,-5.531943464,12.73580189,7.25129694,11.40178565,7.352543762,,32.1949646,13.12595096
Lazard Asset Management LLC,Emerging Markets Equity Blend Asia ADR,F00000YHWF,Pacific/Asia ex-Japan Stk ,PJ,Pacific/Asia ex-Japan,12/01/14,3.326818688,3.315446231,13.08578325,-6.939873366,15.0213467,8.474768082,9.020217473,8.391309756,,25.46731419,14.10635676
Lazard Asset Management LLC,Emerging Markets Equity Select ADR - SMA,FOUSA08ZYF,Diversified Emerging Mkts ,EM,Diversified Emerging Markets,06/01/04,10.1506081,4.84866447,9.202368635,-3.060720225,12.24659931,1.536656778,8.63906032,8.31518467,,23.13565617,11.38102725
Lazard Asset Management LLC,Emerging Markets Equity Select ADR/GDR,Not in M*,,EM,,,7.98,4.94,9.74,-3.05,13.11,2.72,7.48,7.7,,,
Lazard Asset Management LLC,European Equity Select ADR - SMA,SAUSA000VN,Europe Stock ,ES,Europe,06/01/99,-1.371791291,-1.123764816,2.569233477,-4.211474346,7.027159178,6.394988549,5.899497883,2.809302682,,14.46954362,4.885316454
Lazard Asset Management LLC,Global Balanced Select ADR - SMA,FOUSA088KH,Allocation--50% to 70% Equity ,MA,Global Allocation )Global Balanced),05/02/94,0.466937378,1.616584578,3.276934553,-2.114725015,5.151981143,3.864776519,3.506472988,3.828132667,,11.50687704,6.355192614
Lazard Asset Management LLC,Global Core Plus Fixed Income,FOUSA05YV8,World Bond,IB,Global Bond - Unhedged,07/02/90,5.611734084,1.784477145,1.685683653,-7.041596381,2.712955545,3.419043059,1.71166953,0.91685763,,7.534289823,3.17955739
Lazard Asset Management LLC,Global Equity Advantage,FOUSA06V33,World Large Stock ,WS,World Large Core,01/02/08,-0.557706856,-0.907023684,4.040660482,4.380520895,5.98718257,4.204099543,6.527519463,6.06884252,,16.84139325,9.619193528
