AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Legg Mason,CBI All Cap Growth SMA,SAUSA005E7,Dual,,LG,07/31/96,-0.00982212,0.00830036,0.0760031,0.01487033,0.07633855,0.03053399,0.04401055,0.06872315,0.01809822,0.17063662,0.11824443
Legg Mason,CBI All Cap Value SMA,SAUSA005E8,Dual,,LV,01/31/94,-0.00976501,0.03668652,0.06866175,0.08681766,0.05696601,0.01452544,0.04114401,0.05680603,-0.03935596,0.07233757,0.08600374
Legg Mason,CBI All Cap Value ESG Catholic SMA,-,Dual,,0,01/31/13,0.00277143,0.02831915,0.07164415,0.0747932,0.04651463,0.01182607,0.04598205,0.04322969,-0.04402252,0.05549869,0.07807414
Legg Mason,CBI Appreciation SMA,FOUSA06M93,Model,,LB,03/31/03,0.03736422,0.03465266,0.01019073,0.03075443,0.04819024,0.02230881,0.02810068,0.067847,-0.02350861,0.09596124,0.08970188
Legg Mason,CBI Global Value ADR SMA,F00000WMDM,Trad,,WS,04/30/02,-0.03148159,-0.00827621,0.081421,0.03352456,0.05522258,0.04059142,0.04859716,0.03927446,-0.01556633,0.1163635,0.06560511
Legg Mason,CBI Intl Value ADR SMA,FOUSA06R7O,Dual,,FB,10/31/94,-0.03247026,-0.0251193,0.09701547,0.0216718,0.07829557,0.06059498,0.05873398,0.03196907,-0.02146139,0.13391647,0.07783029
Legg Mason,CBI Dividend Strategy SMA,FOUSA06M94,Dual,,LB,06/30/03,0.05145666,0.04086117,0.01819521,0.02978089,0.04172388,0.03392528,0.04194938,0.05657957,-0.0290591,0.1051743,0.09165351
Legg Mason,CBI Dynamic MDA Global Growth & Value ESG SMA,-,Model,,0,10/31/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05679302,0.00618311,N/A,N/A
Legg Mason,CBI Dynamic MDA Global Div Bal SMA,-,Dual,,0,07/31/15,0.02571051,0.02219895,0.03281711,0.01190822,0.04484809,0.03875318,0.04191866,0.03385344,-0.02411068,0.09195748,N/A
Legg Mason,CBI Dynamic MDA Global Growth SMA,-,Dual,,0,07/31/15,-0.02406804,-0.00006908,0.0668047,0.00377774,0.07254812,0.04951561,0.06062536,0.06364754,0.02316299,0.21141647,N/A
Legg Mason,CBI Dynamic MDA Global Growth & Value SMA,-,Dual,,0,05/31/16,N/A,N/A,0.06575767,0.02578338,0.06431071,0.03616664,0.04366813,0.04441651,-0.00972357,0.11846449,N/A
Legg Mason,CBI Dynamic MDA U.S. Div Bal SMA,-,Dual,,0,07/31/15,0.04157522,0.03562483,0.01223865,0.01842015,0.03832693,0.02793657,0.03005811,0.05100022,-0.0246903,0.08535895,N/A
Legg Mason,CBI Dynamic MDA U.S. Growth SMA,-,Dual,,0,07/31/15,-0.02275815,0.00884509,0.07244478,0.01503739,0.07110235,0.03535693,0.03609716,0.068669,0.02350326,0.17333767,N/A
