AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Lord Abbett & Co LLC,Convertible Model,SAUSA002PT/SAUSA001D3,US Fund Convertibles,CV,Taxable Fixed Income,01/01/03,-0.98,2.03,5.82,1.26,5.62,2.09,4.1,1.91,1.67,10.12,6
,Intermediate Municipal ,FOUSA08Z81,US Fund Muni National Interm,MI,Tax Free Fixed Income,07/01/03,1.87,2.29,-0.07,-4.26,1.66,2.27,0.76,0.19,-1.65,1.53,1.78
,Laddered Municipal 1-10 Year,F00000OIML,US Fund Muni National Interm,MI,Tax Free Fixed Income,06/01/12,1.36,1.41,-0.14,-3.07,1.35,1.61,0.5,-0.25,-1.12,0.72,1.09
,Laddered Municipal 1-15 Year,F00000ZDAE,US Fund Muni National Interm,MI,Tax Free Fixed Income,04/01/16,(null),1.91,-0.5,-4.4,1.3,2.14,0.69,0.48,-1.63,1.65,(null)
,Laddered Municipal 1-20 Year,F00000OIMM,US Fund Muni National Long,ML,Tax Free Fixed Income,06/01/12,1.93,2.75,-0.58,-4.99,1.47,2.49,0.85,1.11,-1.83,2.6,1.88
,Laddered Municipal 1-5 Year,F00000OIMK,US Fund Muni National Short,MS,Tax Free Fixed Income,06/01/12,0.61,0.57,-0.16,-1.2,1.09,0.57,0.43,-0.7,0.01,0.3,0.62
,Laddered Municipal 5-10 Year,F00000ZDH7,US Fund Muni National Interm,MI,Tax Free Fixed Income,04/01/15,1.93,2.06,-0.15,-4.78,1.61,2.43,0.61,-0.01,-1.84,1.14,1.29
,Laddered Municipal 5-15 Year,F00000ZDH9,US Fund Muni National Interm,MI,Tax Free Fixed Income,04/01/15,2.57,3.07,-0.44,-5.85,1.62,2.81,0.89,1.12,-2.43,2.34,1.99
 ,Large Cap Value ,SAUSA001QU,Large Cap Value,LV,U.S. Equity,01/01/85,-0.09,4.54,3.93,7.84,1.76,2.28,3.48,6.07,-2.42,9.55,9.02
,Long Municipal ,SAUSA001R5,Muni National Long,ML,Tax Free Fixed Income,01/01/85,2.04,4.04,-0.58,-4.45,1.4,2.59,0.95,1.91,-1.88,3.57,2.93
,Multi Cap Value ,,,,U.S. Equity,04/01/08,0.41,4.73,4.29,7.17,1.6,1.88,3.37,5.73,-1.78,9.36,8.77
,Short Duration Municipal ,F00000NB2W,US Fund Muni National Short,MS,Tax Free Fixed Income,12/01/11,0.95,1.05,-0.02,-2.27,1.4,1.05,0.48,-0.87,-0.5,0.15,0.82
,Small Cap Value ,LASMVA,Small Cap Value,SV,U.S. Equity,01/01/96,2.08,4.48,6.13,8.24,0.98,0.15,2.88,4.12,-1.12,6.08,7.54
,Smid Cap Value ,SAUSA04AI4,US Fund Mid-Cap Blend,MB,U.S. Equity,03/01/05,3.15,2.59,4.64,5.89,1.32,2.08,2.78,4.4,-2.38,6.93,6.28
