AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
Aligned Investors,Principal SMA Blue Chip Equity,F00000YYTQ,US SA Large Growth,LG,,07/01/12,0.42,1.92,7.54,-0.41,8.25,5.43,6.22,6.77,3.45,23.69,14.77
Aligned Investors,Principal SMA MidCap Equity,F00000MD3H,US SA Mid-Cap Growth,MG,,04/01/91,1.09,3.25,4.63,0.85,7.3,5.02,5.86,5.17,-0.12,16.79,10.03
"Edge Asset Management, Inc",Edge SMA Mid Cap Core Equity,F00000XDN8,US SA Mid-Cap Blend,MB,,08/01/07,9.8,6.42,2.73,4.43,4.15,2.28,3.52,4.96,0.13,11.29,12.64
"Edge Asset Management, Inc",Edge SMA SMID Cap Div Inc with MLP's,F00000OSQN,US SA Mid-Cap Value,MV,,03/01/07,4.91,6.21,7.27,10.14,2.85,1.03,4.41,3.33,-3.2,5.51,10.36
"Edge Asset Management, Inc",Edge SMA SMID Dividend Income (Non K-1),F00000OSPA,US SA Mid-Cap Value,MV,,03/01/07,4.99,6.2,7.11,10.45,2.61,0.81,4.23,3.65,-3.22,5.4,10.34
,Edge SMA All Cap,PEDGEAC,All Cap,AC,,01/01/97,0.83,2.02,3.48,3.08,6.13,2.73,4.57,6.67,-0.46,14.07,10.15
,Principal SMA Small Cap Select Equity,F00000Y4DW,US SA Small Blend,SB,,01/01/10,-1.11,3.69,8.17,7.84,2.48,-0.91,4.46,4.76,2.08,10.69,8.51
Principal Global Equities,Principal SMA Small-Cap Value Equity,F00000MP0W,US SA Small Value,SV,,07/01/95,2.01,3.81,8.09,12.02,0.31,-1.7,3.91,4.08,-1.13,5.11,9.74
,SMA U.S. SELECT EQUITY,PUSSEQUITY,All Cap,AC,,01/01/03,-0.54,0.81,2.47,4.14,5.69,3.06,5.53,7.25,-1.46,14.94,8.72
Principal Global Fixed Income,Principal SMA High Yield,F00000WJTR,US SA High Yield Bond,HY,,01/01/08,2.23,4.36,4.47,1.72,3,1.94,2.38,1.03,-1.11,4.28,4.83
,SMA High Yield with 144A,F00000WJTR,US SA High Yield Bond,HY,,01/01/08,1.85,4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Short Duration,PSHORTDUR,Short-Term Bond,CS,,03/01/10,1.92,3.18,2.59,NA,NA,NA,NA,NA,NA,NA,NA
Principal Global Fixed Income,Principal SMA Investment Grade Corp,F00000XO0D,US SA Corporate Bond,TW,,01/01/09,3.81,3.54,1.53,-2.91,1.03,2.68,1.35,0.99,-2.51,2.47,2.18
Principal Real Estate Investors,Principal SMA US Real Estate Equity Sec,F00000MP0V,US SA Real Estate,SR,,01/01/98,5.17,5.75,-1.04,-3.36,1.68,2.25,1.47,3.68,-4.93,2.28,3.17
"Spectrum Asset Management, Inc.",Spectrum SMA Pref Secs with Capital Sec,F00000WKR5,US SA Preferred Stock,RR,,04/01/89,0.53,3.9,1.05,-4.62,5.49,3.68,0.95,0.68,-0.91,4.42,5.1
"Spectrum Asset Management, Inc.",Spectrum SMA Preferred Securities,F00000JQ4Q,US SA Preferred Stock,RR,,04/01/89,0.96,4.1,0.48,-5.2,5.89,3.7,0.82,0.59,-0.86,4.27,5.13
"Spectrum Asset Management, Inc.",Spectrum SMA Tax Advantaged Pref Secs,F00000JQ4R,US SA Preferred Stock,RR,,04/01/89,0.88,4.43,0.67,-5.42,5.95,3.8,0.77,0.49,-0.68,4.4,5.33
,SMA SPECTRUM PREFERRED OFFSHORE SECURITIES,PPFDOFFSHORE,US SA Preferred Stock,RR,,04/01/89,1.13,4.57,0.24,-5.42,5.41,3.04,0.92,0.3,-0.25,4.04,4.56
Columbus Circle Investors,SMA LARGE CAP GROWTH MAX,PLCGROWTH,Large-Cap Growth,LG,,01/01/76,-3.29,-2.21,6.08,-4.51,11.03,4.85,7.88,7.67,5.11,28.02,11.29
Columbus Circle Investors,SMA MID CAP GROWTH MAX,PMCGROWTH,Mid-Cap Growth,MG,,01/01/93,-3.88,4.97,4.49,-1.57,9.43,4.1,6.44,6.95,2.49,21.45,9.1
