Renaissance Investment Management,2016-03-31,Adhesion,-0.23000000,1,1
Lazard Asset Management LLC,2016-03-31,Ameriprise,25.61800000,1,8
Franklin Templeton,2016-03-31,Ameriprise,5.05946260,2,8
Legg Mason,2016-03-31,Ameriprise,2.39880299,3,8
GW&K Investment Management  ,2016-03-31,Ameriprise,1.35051114,4,8
Lord Abbett,2016-03-31,Ameriprise,0.80000000,5,8
Renaissance Investment Management,2016-03-31,Ameriprise,-0.33000000,6,8
Invesco,2016-03-31,Ameriprise,-0.58823395,7,8
Principal,2016-03-31,Ameriprise,-3.25742435,8,8
Legg Mason,2016-03-31,Citi,65.35956249,1,8
Principal,2016-03-31,Citi,3.07845031,2,8
Lord Abbett,2016-03-31,Citi,1.80000000,3,8
Invesco,2016-03-31,Citi,-0.00792253,4,8
Franklin Templeton,2016-03-31,Citi,-0.43043561,5,8
Renaissance Investment Management,2016-03-31,Citi,-0.75000000,6,8
Brandes,2016-03-31,Citi,-1.19109251,7,8
Allianz Global Investors,2016-03-31,Citi,-3.94410900,8,8
Lazard Asset Management LLC,2016-03-31,Edward Jones,19.52300000,1,4
Legg Mason,2016-03-31,Edward Jones,16.76862114,2,4
GW&K Investment Management  ,2016-03-31,Edward Jones,-7.51960946,3,4
Franklin Templeton,2016-03-31,Edward Jones,-9.05545815,4,4
Legg Mason,2016-03-31,Janney,21.30681898,1,6
Lazard Asset Management LLC,2016-03-31,Janney,1.56600000,2,6
Anchor Capital LLC,2016-03-31,Janney,0.44600000,3,6
Brandes,2016-03-31,Janney,-0.01969689,4,6
Renaissance Investment Management,2016-03-31,Janney,-0.02000000,5,6
Lord Abbett,2016-03-31,Janney,-0.10000000,6,6
Lord Abbett,2016-03-31,LPL,11.60000000,1,8
Renaissance Investment Management,2016-03-31,LPL,3.31000000,2,8
Legg Mason,2016-03-31,LPL,2.77388980,3,8
GW&K Investment Management  ,2016-03-31,LPL,2.39046040,4,8
Franklin Templeton,2016-03-31,LPL,0.21672178,5,8
Lazard Asset Management LLC,2016-03-31,LPL,-0.33700000,6,8
Anchor Capital LLC,2016-03-31,LPL,-0.35800000,7,8
Invesco,2016-03-31,LPL,-10.81206417,8,8
Legg Mason,2016-03-31,Merrill,534.03347125,1,10
GW&K Investment Management  ,2016-03-31,Merrill,381.94732323,2,10
Lord Abbett,2016-03-31,Merrill,201.00000000,3,10
Principal,2016-03-31,Merrill,51.95794625,4,10
Anchor Capital LLC,2016-03-31,Merrill,3.39000000,5,10
Renaissance Investment Management,2016-03-31,Merrill,0.66000000,6,10
Lazard Asset Management LLC,2016-03-31,Merrill,-0.41600000,7,10
Brandes,2016-03-31,Merrill,-1.33072715,8,10
Invesco,2016-03-31,Merrill,-49.11132653,9,10
Franklin Templeton,2016-03-31,Merrill,-56.01313121,10,10
Lazard Asset Management LLC,2016-03-31,MSWM,148.90300000,1,11
GW&K Investment Management  ,2016-03-31,MSWM,88.45073964,2,11
Principal,2016-03-31,MSWM,70.22640504,3,11
Franklin Templeton,2016-03-31,MSWM,39.71480545,4,11
Renaissance Investment Management,2016-03-31,MSWM,36.01000000,5,11
Anchor Capital LLC,2016-03-31,MSWM,9.22000000,6,11
Lord Abbett,2016-03-31,MSWM,2.00000000,7,11
Invesco,2016-03-31,MSWM,-54.59401156,8,11
Brandes,2016-03-31,MSWM,-59.39460190,9,11
Allianz Global Investors,2016-03-31,MSWM,-108.31974000,10,11
Legg Mason,2016-03-31,MSWM,-193.67369567,11,11
GW&K Investment Management  ,2016-03-31,Oppenheimer,10.60533419,1,4
Invesco,2016-03-31,Oppenheimer,-0.05553867,2,4
Legg Mason,2016-03-31,Oppenheimer,-1.99477555,3,4
Brandes,2016-03-31,Oppenheimer,-2.10857134,4,4
Principal,2016-03-31,PNC,9.65298273,1,5
