AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet                                                                                                                                                                                                                                                      ,Enhanced Core Bond                                                                                                                                                                                                                                             ,SAUSA002OF                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Intermediate-Term Bond                                                                                                                                                                                                                                   ,  ,  ,4,5.29724572,0.27670141,-0.0030055,0.27369591,0,5.40303979,0.00004182,-0.0021182,-0.00207638,0,4.24252828,0.85028856,-2.05258066,-1.2022921,0,4.15185602,0.0002399,0.04759843,0.04783833,0,3.51312181,0.00013503,-0.94937501,-0.94923998,0,3.2531027,0.14150101,-0.44879,-0.30728899,0,2.88695428,0.06222043,-0.44914596,-0.38692553,0,1.95730524,0.00102899,-0.93375533,-0.93272634,0,1.61309441,0.00001466,-0.30117275,-0.30115809,0
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet                                                                                                                                                                                                                                                      ,Intermediate Muni Bond                                                                                                                                                                                                                                         ,SAUSA002OD                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Muni National Interm                                                                                                                                                                                                                                     ,  ,  ,29,20.05425373,1.52228196,-0.07585275,1.44642921,0,20.12609795,0.40126094,-0.69006506,-0.28880412,0,20.03849657,0.1000195,-0.08738611,0.01263339,0,20.06643906,0.49220184,-0.13430626,0.35789558,0,20.15967192,0.00257796,-0.16747282,-0.16489486,0,20.3368186,0.12663026,-0.35373866,-0.2271084,0,20.3394485,0.00166495,-0.10141817,-0.09975322,0,19.83124567,0.20166931,-0.19618906,0.00548025,0,17.35088587,0.43070062,-2.5158453,-2.08514468,0
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet                                                                                                                                                                                                                                                      ,Intermediate Muni Bond (CA)                                                                                                                                                                                                                                    ,SAUSA002OD                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Muni National Interm                                                                                                                                                                                                                                     ,  ,  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50010451,0.00009655,0,0.00009655,0,0.4705973,0,-0.02,-0.02,0
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet                                                                                                                                                                                                                                                      ,Short-Term Taxable Bond                                                                                                                                                                                                                                        ,SAUSA04ACE                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Short-Term Bond                                                                                                                                                                                                                                          ,  ,  ,0,1.16606989,0.15115779,-0.01634718,0.13481061,0,1.41459796,0.25004661,-0.00449867,0.24554794,0,1.10693282,0.00000849,-0.30443263,-0.30442414,0,0.847523,0.00000899,-0.24499236,-0.24498337,0,0.8423223,0.00001653,-0.0067659,-0.00674937,0,0.84271743,0.00001719,0,0.00001719,0,0.84402497,0.00002983,-0.00001216,0.00001767,0,0.84032122,0.00002229,0,0.00002229,0,0,0.00047285,-0.83106671,-0.83059386,0
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet                                                                                                                                                                                                                                                      ,Small Cap Core                                                                                                                                                                                                                                                 ,F00000JZDU                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Small Growth                                                                                                                                                                                                                                             ,  ,  ,0,2.08865829,0.000004,-0.00003301,-0.00002901,0,2.15818548,0.00004386,-0.01003253,-0.00998867,0,2.27183632,0.00000635,-0.00003456,-0.00002821,0,2.3816942,0.00000632,-0.00003456,-0.00002824,0,3.03005133,0.5245904,-0.00003966,0.52455074,0,3.17814057,0.00073666,-0.0003508,0.00038586,0,3.33809788,0.00004222,-0.00003966,0.00000256,0,0,0,-3.33221824,-3.33221824,0,0,0,0,0,0
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet                                                                                                                                                                                                                                                      ,Total Return Bond                                                                                                                                                                                                                                              ,SAUSA002OE                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Multisector Bond                                                                                                                                                                                                                                         ,  ,  ,5,6.78600703,0.00003131,-0.50442689,-0.50439558,0,5.59252385,0.03019834,-1.34712467,-1.31692633,0,6.07662366,0.39090013,-0.01973886,0.37116127,0,5.36106893,0.00016925,-0.56941332,-0.56924407,0,5.20811628,0.04572647,-0.25497631,-0.20924984,0,4.86617518,0.00009673,-0.44607612,-0.44597939,0,4.53137434,0.00022418,-0.39173753,-0.39151335,0,3.86124711,0.00003136,-0.68231958,-0.68228822,0,3.78538685,0.00001615,-0.02675958,-0.02674343,0
GW&K Investment Management    ,TAMP      ,"Ameriprise Financial Services, Inc.                                                                                                                                                                                                                            ",  ,Envestnet - Models                                                                                                                                                                                                                                             ,Small Mid Cap Core                                                                                                                                                                                                                                             ,F00000OV2S                    ,Model_Delivered                                                                                                                                                                                                                                                ,US SA Mid-Cap Growth                                                                                                                                                                                                                                           ,  ,  ,3,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0,0.24790056,0,0,0,0
GW&K Investment Management    ,TAMP      ,"BancWest Investment Services, Inc.                                                                                                                                                                                                                             ",  ,Envestnet                                                                                                                                                                                                                                                      ,Core Bond                                                                                                                                                                                                                                                      ,SAUSA04ACD                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Intermediate-Term Bond                                                                                                                                                                                                                                   ,  ,  ,2,1.01802988,1.099606,-0.1,0.999606,0,1.03953616,0.00000001,0,0.00000001,0,1.75863099,0.71539976,0,0.71539976,0,2.57953533,0.90001033,0,0.90001033,0,2.89304234,0.30074508,-0.00103332,0.29971176,0,2.62275807,0.00000995,-0.313,-0.31299005,0,2.2257184,0.00072852,-0.41,-0.40927148,0,1.1376328,0,-1.08812214,-1.08812214,0,0.50878084,0,-0.61236343,-0.61236343,0
GW&K Investment Management    ,TAMP      ,"BancWest Investment Services, Inc.                                                                                                                                                                                                                             ",  ,Envestnet                                                                                                                                                                                                                                                      ,Enhanced Core Bond                                                                                                                                                                                                                                             ,SAUSA002OF                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Intermediate-Term Bond                                                                                                                                                                                                                                   ,  ,  ,3,3.75687579,0.0007,-0.01724512,-0.01654512,0,2.36708279,0.00000513,-1.4535321,-1.45352697,0,2.40148508,0.2774583,-0.26307436,0.01438394,0,2.61416452,0.00162418,0.30111538,0.30273956,0,1.45794782,0.00000605,-1.16397445,-1.1639684,0,1.47165917,0.00000817,-0.00864,-0.00863183,0,1.06483035,0,-0.41792262,-0.41792262,0,1.06706724,0.0004226,0,0.0004226,0,1.37873196,0.33426731,0,0.33426731,0
GW&K Investment Management    ,TAMP      ,"BancWest Investment Services, Inc.                                                                                                                                                                                                                             ",  ,Envestnet                                                                                                                                                                                                                                                      ,Five-Year Municipal Bond                                                                                                                                                                                                                                       ,SAUSA04ACG                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Muni National Interm                                                                                                                                                                                                                                     ,  ,  ,0,0,0,0,0,0,0,0,0,0,0,0.41977974,0.58,-0.16,0.42,0,0.366744,0,-0.04,-0.04,0,0,0,-0.36856112,-0.36856112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GW&K Investment Management    ,TAMP      ,"BancWest Investment Services, Inc.                                                                                                                                                                                                                             ",  ,Envestnet                                                                                                                                                                                                                                                      ,Intermediate Muni Bond                                                                                                                                                                                                                                         ,SAUSA002OD                    ,Traditional                                                                                                                                                                                                                                                    ,US SA Muni National Interm                                                                                                                                                                                                                                     ,  ,  ,17,10.5329766,0.42853845,-0.00451736,0.42402109,0,10.9486839,1.0492328,-0.82962465,0.21960815,0,12.35517124,0.840701,0.63514539,1.47584639,0,12.00950242,0.26727774,-0.05888471,0.20839303,0,8.84433716,0.75019855,-3.52243019,-2.77223164,0,8.38580469,0.43298405,-1.05027013,-0.61728608,0,8.81964145,0.08640678,0.31594825,0.40235503,0,9.85749846,1.06468912,-0.01684096,1.04784816,0,9.43851056,0.34979111,-0.56081109,-0.21101998,0
