AssetManager,TampRIAPlatform,SponsorFirm,SponsorFirmId,AdvisoryPlatform,SmaStrategy,MorningstarStrategyId,SmaProductType,MorningstarClass,MorningstarClassId,ManagerClass,TotalAccounts,1Q 2016 a,1Q 2016 g,1Q 2016 r,1Q 2016 n,1Q 2016 d,2Q 2016 a,2Q 2016 g,2Q 2016 r,2Q 2016 n,2Q 2016 d,3Q 2016 a,3Q 2016 g,3Q 2016 r,3Q 2016 n,3Q 2016 d,4Q 2016 a,4Q 2016 g,4Q 2016 r,4Q 2016 n,4Q 2016 d,1Q 2017 a,1Q 2017 g,1Q 2017 r,1Q 2017 n,1Q 2017 d,2Q 2017 a,2Q 2017 g,2Q 2017 r,2Q 2017 n,2Q 2017 d,3Q 2017 a,3Q 2017 g,3Q 2017 r,3Q 2017 n,3Q 2017 d,4Q 2017 a,4Q 2017 g,4Q 2017 r,4Q 2017 n,4Q 2017 d,1Q 2018 a,1Q 2018 g,1Q 2018 r,1Q 2018 n,1Q 2018 d
Invesco,,Ameriprise,6363,Premiere Portfolio,Invesco International Growth ADR SMA,F00000UD64,Traditional SMA,Foreign Large Growth,FG,,0.144,44.74608612,1.0691784,-2.18458003,-1.11540163,,40.7546968,0.18156297,-4.86395278,-4.68238981,,39.79309158,0.04265913,-2.51315108,-2.47049195,,36.22163552,3.06754786,-5.11912496,-2.0515771,,34.89452251,0.14975055,-3.98620447,-3.83645392,,35.59012031,0.92998998,-2.06911811,-1.13912813,,34.68231304,0.33848177,-2.26353562,-1.92505385,,35.7675202,4.17570446,-4.3343619,-0.15865744,,34.02121891,0.15968431,-1.26757388,-1.10788957,
Invesco,,Ameriprise,6363,Premiere Portfolio,Invesco U.S. Real Estate Securities SMA,F00000UD66,Traditional SMA,Real Estate,SR,,0.039,5.86205728,0.72693558,-0.1997679,0.52716768,,6.77530754,0.5764184,-0.03071962,0.54569878,,6.69529825,0.37042837,-0.43270963,-0.06228126,,6.56142151,0.35448865,-0.25842741,0.09606124,,6.60794386,0.532169,-0.65046298,-0.11829398,,6.97426063,0.5132637,-0.30518249,0.20808121,,6.89922587,0.24032299,-0.37398811,-0.13366512,,6.88625549,0.12025832,-0.37507237,-0.25481405,,6.82239395,0.54791768,-0.22951052,0.31840716,
Invesco,Brinker,Brinker,111743,Core,Invesco International Growth ADR SMA,F00000UD64,Traditional SMA,Foreign Large Growth,FG,,0,81.23053515,1.07094887,-4.04398455,-2.97303568,,77.78684421,0.16748714,-1.30314444,-1.1356573,,78.38938302,0.00800314,-2.8085562,-2.80055306,,58.29147335,24.71996354,-41.31413884,-16.5941753,,18.14645604,2.09147428,-4.70092019,-2.60944591,,17.91483844,0.28906061,-1.52619419,-1.23713358,,17.19380863,0.00232076,-1.29359707,-1.29127631,,13.32788793,0.00289314,-4.4609665,-4.45807336,,0,0.00055002,-13.63726542,-13.6367154,
Invesco,Brinker,Brinker,111743,Model Only,Invesco International Growth ADR SMA,F00000UD64,Model Delivered,Foreign Large Growth,FG,,0.039,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,36.50443831,0.04432872,-4.83010581,-4.78577709,,37.53742141,0.13040067,-1.0421244,-0.91172373,,37.84096,0.2978634,-1.03406494,-0.73620154,,33.59605,6.8175289,-12.02742977,-5.20990087,,31.20952,1.0049854,-1.96588168,-0.96089628,
Invesco,Charles Schwab,Charles Schwab,5393,CS Access,Invesco Charter SMA, SAUSA004ZB,Traditional SMA,Large Core,LB,,0,0.12543712,0,-0.00044879,-0.00044879,,0.12772843,0,-0.00046126,-0.00046126,,0.13289199,0,-0.00048488,-0.00048488,,0.13383054,0,-0.00055005,-0.00055005,,0.13885407,0,-0.00050002,-0.00050002,,0.14287311,0,-0.00052225,-0.00052225,,0,0,-0.14515899,-0.14515899,,0,0,0,0,,0,0,0,0,
Invesco,Charles Schwab,Charles Schwab,5393,CS Access,Invesco Comstock SMA,FOUSA08YWK,Traditional SMA,FOUSA08YWK,LV,,0.003,0.16974133,0,-0.04404841,-0.04404841,,0.1728447,0,-0.00387572,-0.00387572,,0.18419017,0,-0.05400776,-0.05400776,,0.2023563,0.20714653,-0.21113273,-0.0039862,,0.20703429,0.00001554,-0.05444772,-0.05443218,,0.20992887,0,-0.00442042,-0.00442042,,0.22318661,0,-0.03445886,-0.03445886,,0.8385113,0.81605491,-0.27857556,0.53747935,,0.8161631,0.0004433,-0.06754541,-0.06710211,
Invesco,Charles Schwab,Charles Schwab,5393,CS Access,Invesco Global Core Equity ADR SMA,F00000U2JM,Traditional SMA,Global Equity - Unhedged,WS,,0.001,2.42087344,0,-0.00631252,-0.00631252,,2.43999722,0,-0.00661449,-0.00661449,,2.57740496,0.0035719,-0.02526162,-0.02168972,,2.57003997,0,-0.00678299,-0.00678299,,2.72647405,0,-0.00713832,-0.00713832,,2.83385602,0.04851975,-0.05564262,-0.00712287,,3.23510869,0.25008601,-0.00750019,0.24258582,,3.3785486,0.0224701,-0.03659269,-0.01412259,,3.34948854,0,-0.00877573,-0.00877573,
Invesco,Charles Schwab,Charles Schwab,5393,CS Access,Invesco International Core Equity ADR SMA,F00000U2LT,Traditional SMA,EAFE,FB,,0.004,1.52275262,0.00012261,-0.01009406,-0.00997145,,1.51233502,0.00658902,-0.00682055,-0.00023153,,1.62586924,0.00076658,-0.00791946,-0.00715288,,1.60153021,0.13457938,-0.14227138,-0.007692,,1.69633388,0.00007345,-0.01093652,-0.01086307,,1.76848546,0.03091009,-0.04214446,-0.01123437,,1.85412827,0.02322861,-0.03582987,-0.01260126,,1.9643622,0.19634447,-0.21067655,-0.01433208,,1.9373068,0.00000294,-0.01305022,-0.01304728,
Invesco,Charles Schwab,Charles Schwab,5393,CS Access,Invesco International Growth ADR SMA,F00000UD64,Traditional SMA,Foreign Large Growth,FG,,0.353,238.6745109,7.92957296,-10.92017182,-2.99059886,,228.5985129,2.07488255,-5.0765348,-3.00165225,,234.6880844,5.40390869,-9.34794606,-3.94403737,,225.6290091,38.12609754,-36.43027224,1.6958253,,229.8843708,1.68406633,-13.56348203,-11.8794157,,215.0534749,5.88053744,-32.46454688,-26.58400944,,201.470114,1.36820463,-22.28540013,-20.9171955,,183.3310116,7.97635622,-53.10222168,-45.12586546,,133.1820995,0.80721708,-49.30424218,-48.4970251,
Invesco,Charles Schwab,Charles Schwab,5393,CS Access,Invesco Mid Cap Core SMA,F00000UD65,Traditional SMA,Mid Core,MB,,0.005,1.99817107,0,-0.00768706,-0.00768706,,1.77233556,0,-0.25811467,-0.25811467,,1.61766393,0.00354177,-0.28670766,-0.28316589,,1.66031336,0.19165439,-0.19648277,-0.00482838,,1.74180891,0.00004499,-0.00509944,-0.00505445,,1.77952886,0,-0.00557458,-0.00557458,,1.84157612,0,-0.00569217,-0.00569217,,1.92316176,0.22629553,-0.23202904,-0.00573351,,1.88303877,0.00002105,-0.01171082,-0.01168977,
