AssetManager,SmaStrategy,MorningstarStrategyId,MorningstarClass,MorningstarClassId,ManagerClass,InceptionDate,1Q 2016,2Q 2016,3Q 2016,4Q 2016,1Q 2017,2Q 2017,3Q 2017,4Q 2017,1Q 2018,1Q 2018      1-Year,1Q 2018         3-Year
GW&K Investment Management,Balanced Income with Municipals,F00000YM2X,US SA Allocation--30% to 50% Equity,CA,,05/01/16,,,0.266529451,-0.69452903,2.849755692,1.97512402,1.503626391,2.300107509,-2.447156369,3.297978866,
GW&K Investment Management,Core Bond,SAUSA04ACD,US SA Intermediate-Term Bond,CI,,02/01/01,3.35362829,2.405367611,0.799648759,-3.326502788,0.81278747,1.81552002,0.956929248,0.590161102,-1.656858571,1.683315149,1.401571035
GW&K Investment Management,Corporate Bond Opportunities,F00000NLVB,US SA High Yield Bond,HY,,10/01/07,3.342326922,2.374904122,2.912028574,-1.383939669,1.645836499,2.33144649,1.557580573,0.631581868,-1.773171128,2.727302058,1.588724885
GW&K Investment Management,Diversified Equity Wrap,F00000WBL3,US SA Large Growth,LG,,01/01/93,-2.448624176,-0.149072011,4.033795837,4.737313817,3.877226582,4.481273025,4.112554997,3.788694701,2.16679837,15.34569604,7.900472246
GW&K Investment Management,Enhanced Core Bond,SAUSA002OF,US SA Intermediate-Term Bond,CI,,10/01/99,3.319008887,2.473210443,1.33887974,-2.959220686,1.096796242,1.934199288,1.09330148,0.574816457,-1.764806868,1.811924706,0.88529771
GW&K Investment Management,Equity Dividend Plus Wrap,F00000OV36,US SA Large Value,LV,,11/01/03,6.815503233,7.33999432,0.690982642,2.63740894,3.939256998,1.661525941,2.256392699,4.332118147,-3.220222909,4.966262625,8.327959432
GW&K Investment Management,Five-Year Municipal Bond,SAUSA04ACG,US SA Muni National Interm,MI,,06/01/03,1.208465431,1.288703539,-0.124302449,-2.56030652,1.656315421,1.409587505,0.513294983,-0.771050837,-0.666351382,0.47020913,1.175523931
GW&K Investment Management,Municipal Bond,SAUSA002OD,US SA Muni National Interm,MI,,01/01/93,1.860992608,2.164837346,-0.212279722,-3.948251115,1.601557722,2.27117823,0.777102457,0.267494469,-1.742931969,1.5404515,1.858866635
GW&K Investment Management,Municipal Bond - California,,,MF,,04/01/06,1.859169131,2.061723982,-0.238151969,-4.211685218,1.761408329,2.264916309,0.852322149,0.250871578,-1.477247477,1.867878903,1.867405711
GW&K Investment Management,Municipal Bond - New York,,,MN,,12/01/06,1.782817734,2.263853105,-0.097758435,-4.056161022,1.632982911,2.371686021,0.754957398,0.053146853,-1.783540312,1.358764411,1.859550541
GW&K Investment Management,Municipal Enhanced Yield,FOUSA069OD,US SA Muni National Long,ML,,04/01/06,2.178515534,4.594020529,-0.686924164,-5.048694256,1.482018877,2.724826255,1.483995195,1.643654175,-1.646766817,4.217795529,3.251989444
GW&K Investment Management,Short-Term Municipal Bond,SAUSA04ACF,US SA Muni National Short,MS ,,01/01/02,0.505360446,0.420292118,-0.163841928,-0.345251478,0.733426953,0.277361964,0.31076923,-0.580543765,0.220910269,0.225951404,0.629268814
GW&K Investment Management,Short-Term Taxable Bond,SAUSA04ACE,US SA Short-Term Bond,CS,,10/01/02,1.560398957,0.681451884,0.144944174,-0.836799261,0.532331346,0.384146027,0.526458634,-0.115384915,-0.629929768,0.161243882,0.882061483
GW&K Investment Management,Small Cap Core Wrap,F00000JZDU,US SA Small Growth,SG,,01/01/00,2.324781233,4.382692824,5.640536682,5.184003766,4.853697973,5.179342922,5.353099381,4.898896798,-0.296899983,15.89303936,11.08107639
GW&K Investment Management,Small/Mid Cap Core Wrap,F00000OV2S,US SA Mid-Cap Growth,MG,,01/01/06,2.547368511,3.276874036,4.955143626,5.423076633,5.214754329,3.928480376,2.234711683,4.888665576,0.869153599,12.41386775,9.407529736
GW&K Investment Management,Total Return Bond,SAUSA002OE,US SA Multisector Bond,MU,,01/01/93,3.473973239,2.288825935,2.205375903,-2.305183196,1.280300373,2.20190796,1.396940206,0.500518242,-1.771783952,2.303009858,0.973948816
